Mosteiro	B-OBRA
criação	O
de	O
um	O
sistema	O
de	O
detecção	O
e	O
alerta	O
precoce	O
(	O
...	O
)	O
para	O
o	O
Mediterrâneo	B-LOCAL
e	O
o	O
Atlântico	B-LOCAL
»	O
.	O
Mais	O
recentemente	O
,	O
o	O
Instrumento	B-OBRA
Financeiro	I-OBRA
para	I-OBRA
a	I-OBRA
Protecção	I-OBRA
Civil	I-OBRA
definiu	O
que	O
a	O
criação	O
de	O
um	O
sistema	O
de	O
detecção	O
e	O
alerta	O
precoce	O
é	O
elegível	O
para	O
assistência	O
financeira	O
através	O
de	O
acções	O
como	O
estudos	O
,	O
avaliações	O
e	O
estabelecimento	O
de	O
interligações.	O
Para	O
contribuir	O
para	O
este	O
debate	O
,	O
a	O
ANPC	B-ORGANIZACAO
realizou	O
,	O
de	B-TEMPO
15	I-TEMPO
a	I-TEMPO
18	I-TEMPO
de	I-TEMPO
Julho	I-TEMPO
,	O
em	O
Albufeira	B-LOCAL
,	O
um	O
seminário	O
sobre	O
Sistemas	B-ABSTRACCAO
de	I-ABSTRACCAO
Alerta	I-ABSTRACCAO
Precoce	I-ABSTRACCAO
,	O
o	O
qual	O
reuniu	O
cerca	B-VALOR
de	I-VALOR
120	I-VALOR
especialistas	O
da	O
maior	O
parte	O
dos	O
Estados-Membros	B-LOCAL
e	O
no	O
qual	O
se	O
procurou	O
:	O
-	O
discutir	O
o	O
estado	O
da	O
arte	O
quanto	O
a	O
sistemas	O
de	O
alerta	O
;	O
-	O
identificar	O
lacunas	O
existentes	O
no	O
espaço	O
da	O
União	B-LOCAL
Europeia	I-LOCAL
(	O
ex	O
:	O
sistema	O
de	O
alerta	O
precoce	O
para	O
tsunamis	O
)	O
e	O
delinear	O
as	O
bases	O
para	O
um	O
Plano	B-OBRA
de	I-OBRA
Acção	I-OBRA
destinado	O
a	O
suprir	O
as	O
lacunas	O
identificadas	O
;	O
-	O
debater	O
assuntos	O
transversais	O
,	O
tais	O
como	O
o	O
desenvolvimento	O
de	O
directrizes	O
para	O
o	O
estabelecimento	O
de	O
sinais	O
comuns	O
de	O
alerta	O
a	O
nível	O
europeu.	O
Com	O
base	O
nas	O
conclusões	O
do	O
seminário	O
e	O
nos	O
resultados	O
dos	O
trabalhos	O
desenvolvidos	O
pela	O
Comissão	B-ORGANIZACAO
,	O
ao	O
nível	O
de	O
grupo	O
de	O
peritos	O
,	O
foi	O
possível	O
obter	O
acordo	O
sobre	O
dois	O
documentos	O
de	O
Conclusões	B-OBRA
do	O
Conselho	B-PESSOA
adoptados	O
no	O
Conselho	B-ACONTECIMENTO
JAI	I-ACONTECIMENTO
de	B-TEMPO
5/6	I-TEMPO
de	I-TEMPO
Dezembro	I-TEMPO
.	O
Um	O
desses	O
documentos	O
(	O
Conclusões	B-OBRA
do	I-OBRA
Conselho	I-OBRA
sobre	I-OBRA
o	I-OBRA
desenvolvimento	I-OBRA
e	I-OBRA
estabelecimento	I-OBRA
de	I-OBRA
sistemas	I-OBRA
de	I-OBRA
alerta	I-OBRA
precoce	I-OBRA
na	I-OBRA
UE	I-OBRA
)	O
segue	O
uma	O
abordagem	O
global	O
multi-riscos	O
,	O
enquanto	O
o	O
outro	O
(	O
Conclusões	B-OBRA
do	I-OBRA
Conselho	I-OBRA
sobre	I-OBRA
o	I-OBRA
desenvolvimento	I-OBRA
de	I-OBRA
um	I-OBRA
sistema	I-OBRA
de	I-OBRA
alerta	I-OBRA
precoce	I-OBRA
para	I-OBRA
tsunamis	I-OBRA
no	I-OBRA
Atlântico	I-OBRA
Nordeste	I-OBRA
e	I-OBRA
no	I-OBRA
Mediterrâneo	I-OBRA
)	O
direcciona	O
as	O
atenções	O
para	O
o	O
risco	O
de	O
tsunamis.	O
Ambos	O
os	O
documentos	O
contêm	O
diversas	O
propostas	O
de	O
actuação	O
futura	O
por	O
parte	O
da	O
Comissão	B-ORGANIZACAO
e	O
dos	O
Estados-Membros	B-ORGANIZACAO
.	O
3.	O
Cooperação	O
com	O
Países	B-ORGANIZACAO
do	O
Mediterrâneo	B-LOCAL
Sul	I-LOCAL
No	O
campo	O
da	O
Protecção	B-ABSTRACCAO
Civil	I-ABSTRACCAO
,	O
UE	B-ORGANIZACAO
e	O
África	B-ORGANIZACAO
partilham	O
uma	O
série	O
de	O
preocupações	O
e	O
riscos	O
comuns	O
,	O
maioritariamente	O
na	O
região	O
Euro-Mediterrânica	B-LOCAL
.	O
Estes	O
riscos	O
estão	O
particularmente	O
relacionados	O
com	O
os	O
incêndios	O
florestais	O
,	O
sismos	O
e	O
tsunamis	O
,	O
acidentes	O
químicos	O
e	O
,	O
também	O
,	O
ameaças	O
terroristas.	O
Por	O
outro	O
lado	O
,	O
é	O
também	O
importante	O
sublinhar	O
o	O
facto	O
de	O
que	O
o	O
Mecanismo	B-OBRA
Comunitário	I-OBRA
de	I-OBRA
Protecção	I-OBRA
Civil	I-OBRA
já	O
interveio	O
por	B-TEMPO
diversas	I-TEMPO
vezes	I-TEMPO
nesta	O
região	O
(	O
ex	O
:	O
sismos	O
da	O
Argélia	B-LOCAL
e	O
de	O
Marrocos	B-LOCAL
)	O
e	O
diversos	O
Estados-Membros	B-ORGANIZACAO
mantêm	O
acordos	O
bilaterais	O
de	O
cooperação	O
com	O
os	O
Países	B-ORGANIZACAO
do	O
Mediterrâneo	B-LOCAL
Sul	I-LOCAL
,	O
que	O
conduziram	O
a	O
missões	O
de	O
assistência	O
mútua	O
durante	O
emergências	O
passadas.	O
Existe	O
,	O
pois	O
,	O
espaço	O
mais	O
do	O
que	O
suficiente	O
e	O
vontade	O
comum	O
para	O
uma	O
cooperação	O
mais	O
profunda	O
e	O
forte	O
entre	O
a	O
UE	B-ORGANIZACAO
e	O
África	B-ORGANIZACAO
no	O
campo	O
da	O
protecção	O
civil	O
,	O
nomeadamente	O
com	O
os	O
parceiros	O
do	O
Mediterrâneo	B-LOCAL
.	O
Assim	O
,	O
pretendeu-se	O
reforçar	O
a	O
cooperação	O
com	O
os	O
países	O
do	O
Mediterrâneo	B-LOCAL
Sul	I-LOCAL
,	O
através	O
de	O
acções	O
tais	O
como	O
a	O
partilha	O
de	O
boas	O
práticas	O
e	O
informação	O
sobre	O
riscos	O
comuns	O
,	O
cooperação	O
nos	O
sistemas	O
de	O
alerta	O
precoce	O
ou	O
exercícios	O
conjuntos.	O
De	O
forma	O
a	O
permitir	O
uma	O
mais	O
abrangente	O
troca	O
de	O
pontos	O
de	O
vista	O
neste	O
campo	O
,	O
realizou-se	O
no	B-TEMPO
dia	I-TEMPO
24	I-TEMPO
de	I-TEMPO
Outubro	I-TEMPO
,	O
no	O
Porto	B-LOCAL
,	O
uma	O
reunião	O
informal	O
entre	O
os	O
Directores-Gerais	B-PESSOA
de	I-PESSOA
Protecção	I-PESSOA
Civil	I-PESSOA
dos	O
Países	B-ORGANIZACAO
do	O
Mediterrâneo	B-LOCAL
e	O
os	O
Directores-Gerais	B-PESSOA
de	I-PESSOA
Protecção	I-PESSOA
Civil	I-PESSOA
da	O
União	B-ORGANIZACAO
Europeia	I-ORGANIZACAO
.	O
Essa	O
reunião	O
permitiu	O
concluir	O
da	O
existência	O
de	O
abertura	O
para	O
um	O
trabalho	O
comum	O
futuro	O
,	O
o	O
qual	O
,	O
numa	O
primeira	O
fase	O
,	O
deverá	O
estar	O
integrado	O
do	O
Programa	B-OBRA
para	I-OBRA
a	I-OBRA
Prevenção	I-OBRA
e	I-OBRA
Redução	I-OBRA
de	I-OBRA
Desastres	I-OBRA
do	O
Projecto	B-OBRA
Euromed	I-OBRA
e	O
,	O
numa	O
segunda	O
fase	O
,	O
deverá	O
visar	O
a	O
inclusão	O
de	O
países	O
do	O
Mediterrâneo	B-LOCAL
no	O
Mecanismo	B-OBRA
Comunitário	I-OBRA
de	I-OBRA
Protecção	I-OBRA
Civil	I-OBRA
.	O
4.	O
Consenso	O
Europeu	O
sobre	O
Ajuda	O
Humanitária	O
Na	O
sequência	O
de	O
uma	O
Comunicação	B-OBRA
da	O
Comissão	B-ORGANIZACAO
,	O
o	O
Conselho	B-ORGANIZACAO
discutiu	O
,	O
no	O
seu	O
grupo	O
de	O
Trabalho	O
de	O
Cooperação	B-ABSTRACCAO
e	I-ABSTRACCAO
Desenvolvimento	I-ABSTRACCAO
(	O
CODEV	B-ORGANIZACAO
)	O
uma	O
proposta	O
de	O
Consenso	B-OBRA
Europeu	I-OBRA
sobre	I-OBRA
Ajuda	I-OBRA
Humanitária	I-OBRA
.	O
Tal	O
documento	O
contém	O
referências	O
à	O
actuação	O
da	O
protecção	O
civil	O
nos	O
contextos	O
de	O
crises	O
humanitárias	O
,	O
pelo	O
que	O
foi	O
também	O
discutido	O
no	O
Grupo	B-ORGANIZACAO
de	I-ORGANIZACAO
Trabalho	I-ORGANIZACAO
PROCIV	I-ORGANIZACAO
,	O
tendo	O
sido	O
produzido	O
um	O
aconselhamento	O
em	B-TEMPO
Julho	I-TEMPO
.	O
Após	O
intensas	O
negociações	O
,	O
o	O
Consenso	B-OBRA
Europeu	I-OBRA
foi	O
adoptado	O
pelo	O
CAGRE	B-ORGANIZACAO
em	B-TEMPO
20	I-TEMPO
de	I-TEMPO
Novembro	I-TEMPO
,	O
tendo-se	O
conseguido	O
que	O
,	O
na	O
sua	O
versão	O
final	O
,	O
o	O
Consenso	B-OBRA
não	O
imponha	O
limitações	O
ao	O
uso	O
de	O
recursos	O
de	O
protecção	O
civil	O
nos	O
cenários	O
de	O
desastres	O
naturais	O
,	O
tecnológicos	O
e	O
ambientais	O
em	B-TEMPO
tempo	I-TEMPO
de	O
paz.	O
No	O
entanto	O
,	O
para	O
situações	O
de	O
emergências	O
complexas	O
(	O
conflitos	O
ou	O
situações	O
de	O
fragilidade	O
)	O
o	O
uso	O
de	O
meios	O
de	O
protecção	O
civil	O
acabou	O
por	O
ser	O
considerado	O
como	O
excepcional.	O
5.	O
Revisão	O
das	O
Directrizes	B-OBRA
de	I-OBRA
Oslo	I-OBRA
As	O
Directrizes	B-OBRA
de	I-OBRA
Oslo	I-OBRA
são	O
um	O
documento	O
das	O
Nações	B-ORGANIZACAO
Unidas	I-ORGANIZACAO
,	O
destinado	O
a	O
orientar	O
o	O
uso	O
de	O
meios	O
militares	O
e	O
da	O
defesa	O
civil	O
nos	O
cenários	O
de	O
emergências	O
naturais	O
,	O
tecnológicas	O
ou	O
ambientais	O
em	B-TEMPO
tempo	I-TEMPO
de	O
paz.	O
Aquando	O
da	O
última	O
revisão	O
destas	O
directrizes	O
,	O
em	B-TEMPO
2006	I-TEMPO
,	O
os	O
recursos	O
de	O
protecção	O
civil	O
foram	O
englobados	O
no	O
mesmo	O
grupo	O
dos	O
recursos	O
militares	O
,	O
implicando	O
que	O
apenas	O
poderiam	O
ser	O
utilizados	O
como	O
«	O
último	O
recurso	O
»	O
,	O
após	O
esgotamento	O
de	O
outras	O
alternativas	O
civis.	O
Conscientes	O
de	O
que	O
tal	O
regra	O
contradiria	O
o	O
princípio	O
básico	O
de	O
actuação	O
da	O
protecção	O
civil	O
(	O
resposta	O
rápida	O
e	O
imediata	O
após	O
uma	O
emergência	O
)	O
,	O
os	O
Estados-Membros	B-ORGANIZACAO
e	O
a	O
Comissão	B-ORGANIZACAO
Europeia	I-ORGANIZACAO
desenvolveram	O
diversas	O
diligências	O
procurando	O
obter	O
uma	O
clarificação/revisão	O
de	O
tais	O
Directrizes	B-OBRA
junto	O
da	O
UN/OCHA	B-ORGANIZACAO
.	O
Em	O
particular	O
,	O
foi	O
obtido	O
acordo	O
no	O
Grupo	B-PESSOA
de	I-PESSOA
Trabalho	I-PESSOA
PROCIV	I-PESSOA
quanto	O
a	O
uma	O
abordagem	O
global	O
dos	O
Estados-Membros	B-ORGANIZACAO
sobre	O
esta	O
matéria.	O
Nesta	O
sequência	O
,	O
foi	O
realizada	O
uma	O
reunião	O
com	O
a	O
UN/OCHA	B-ORGANIZACAO
a	B-TEMPO
28	I-TEMPO
e	O
29	B-TEMPO
de	I-TEMPO
Novembro	I-TEMPO
,	O
a	O
qual	O
permitiu	O
adoptar	O
uma	O
revisão	O
das	O
Directrizes	B-OBRA
que	O
clarifica	O
o	O
princípio	O
do	O
último	O
recurso	O
,	O
garantindo	O
um	O
tratamento	O
diferenciado	O
para	O
os	O
recursos	O
de	O
Protecção	B-ABSTRACCAO
Civil	I-ABSTRACCAO
.	O
6.	O
Infra-estruturas	O
críticas	O
As	O
conclusões	O
do	O
Conselho	B-ORGANIZACAO
em	O
matéria	O
«	O
de	O
prevenção	O
,	O
de	O
preparação	O
para	O
intervir	O
e	O
de	O
resposta	O
a	O
atentados	O
terroristas	O
»	O
e	O
o	O
«	O
programa	O
de	O
solidariedade	O
da	O
União	B-ORGANIZACAO
Europeia	I-ORGANIZACAO
respeitante	O
às	O
consequências	O
das	O
ameaças	O
e	O
dos	O
atentados	O
terroristas	O
''	O
,	O
adoptado	O
pelo	O
Conselho	B-ORGANIZACAO
em	B-TEMPO
Dezembro	I-TEMPO
de	I-TEMPO
2004	I-TEMPO
,	O
apoiaram	O
a	O
elaboração	O
de	O
um	O
Programa	B-OBRA
Europeu	I-OBRA
para	I-OBRA
a	I-OBRA
Protecção	I-OBRA
das	I-OBRA
Infra-Estruturas	I-OBRA
Críticas	I-OBRA
e	O
a	O
criação	O
de	O
uma	O
Rede	B-OBRA
de	I-OBRA
Alerta	I-OBRA
para	I-OBRA
as	I-OBRA
Infra-estruturas	I-OBRA
Críticas	I-OBRA
.	O
Neste	O
sentido	O
,	O
em	B-TEMPO
Dezembro	I-TEMPO
de	I-TEMPO
2006	I-TEMPO
,	O
a	O
Comissão	B-ORGANIZACAO
apresentou	O
uma	O
proposta	O
de	O
Directiva	B-OBRA
do	I-OBRA
Conselho	I-OBRA
,	O
na	O
qual	O
se	O
propõem	O
medidas	O
para	O
a	O
identificação	O
e	O
designação	O
das	O
infra	O
estruturas	O
críticas	O
europeias	O
e	O
para	O
a	O
avaliação	O
da	O
necessidade	O
de	O
melhorar	O
a	O
sua	O
protecção	O
,	O
sendo	O
que	O
são	O
abrangidas	O
aquelas	O
cuja	O
perturbação	O
ou	O
destruição	O
afectaria	O
dois	O
ou	O
mais	O
Estados-Membros	B-ORGANIZACAO
,	O
ou	O
um	O
único	O
Estado-Membro	B-ORGANIZACAO
se	O
a	O
infra-estrutura	O
crítica	O
estiver	O
localizada	O
em	O
outro	O
Estado-Membro	B-LOCAL
.	O
Na	O
sequência	O
dos	O
trabalhos	O
desenvolvidos	O
pela	O
Presidência	B-ORGANIZACAO
Alemã	I-ORGANIZACAO
neste	O
âmbito	O
,	O
foi	O
dada	O
continuidade	O
à	O
negociação	O
da	O
proposta	O
de	O
Directiva	B-OBRA
,	O
tendo-se	O
analisado	O
o	O
parecer	O
do	O
Parlamento	B-ORGANIZACAO
Europeu	I-ORGANIZACAO
e	O
discutido	O
as	O
reservas	O
introduzidas	O
pelas	O
diversas	O
delegações.	O
O	O
balanço	O
final	O
é	O
positivo	O
,	O
uma	O
vez	O
que	O
se	O
conseguiu	O
eliminar	O
a	O
maior	O
parte	O
das	O
reservas	O
existentes.	O
Embora	O
exista	O
consenso	O
em	O
relação	O
a	O
cerca	B-VALOR
de	I-VALOR
70	I-VALOR
%	I-VALOR
da	O
proposta	O
de	O
Directiva	B-OBRA
,	O
subsistem	O
reservas	O
de	O
fundo	O
de	O
diversos	O
Estados-Membros	B-ORGANIZACAO
que	O
se	O
relacionam	O
,	O
por	O
exemplo	O
,	O
com	O
a	O
natureza	O
legal	O
do	O
instrumento	O
a	O
adoptar	O
,	O
a	O
inclusão	O
do	O
sector	O
do	O
«	O
nuclear	O
»	O
no	O
âmbito	O
da	O
Directiva	B-OBRA
,	O
a	O
definição	O
de	O
Infra-estrutura	B-ABSTRACCAO
Crítica	I-ABSTRACCAO
Europeia	I-ABSTRACCAO
e	O
a	O
obrigatoriedade	O
de	O
estabelecimento	O
de	O
Planos	B-OBRA
de	I-OBRA
Segurança	I-OBRA
e	O
Oficiais	B-OBRA
de	I-OBRA
Ligação	I-OBRA
.	O
Neste	O
contexto	O
foi	O
obtido	O
acordo	O
sobre	O
um	O
Relatório	B-OBRA
de	I-OBRA
Progresso	I-OBRA
adoptado	O
no	O
Conselho	B-ACONTECIMENTO
JAI	I-ACONTECIMENTO
de	B-TEMPO
5/6	I-TEMPO
Dezembro	I-TEMPO
.	O
A	O
MINHOCA	O
E	O
A	O
MAÇÃ	O
Durante	O
a	O
discussão	O
sobre	O
a	O
natureza	O
do	O
salazarismo	O
,	O
e	O
depois	O
de	O
assinalar	O
,	O
com	O
o	O
fastio	O
do	O
costume	O
,	O
a	O
ignorância	O
grotesca	O
do	O
adversário	O
,	O
Vasco	B-PESSOA
Pulido	I-PESSOA
Valente	I-PESSOA
recomendou-lhe	O
esta	O
reflexão	O
:	O
«	O
Vítor	B-PESSOA
Dias	I-PESSOA
que	O
puxe	O
pela	O
cabeça	O
:	O
existe	O
em	O
Portugal	B-LOCAL
alguém	O
ou	O
alguma	O
coisa	O
a	O
que	O
o	O
PCP	B-PESSOA
já	O
não	O
chamou	O
'fascista	O
?	O
?	O
»	O
Bom	O
argumento.	O
De	O
facto	O
,	O
a	O
repetição	O
exaustiva	O
da	O
mesma	O
acusação	O
desacredita	O
o	O
acusador.	O
Proponho	O
,	O
por	O
isso	O
,	O
outra	O
reflexão.	O
Vasco	B-PESSOA
Pulido	I-PESSOA
Valente	I-PESSOA
que	O
puxe	O
pela	O
cabeça	O
:	O
existe	O
em	O
Portugal	B-LOCAL
alguém	O
ou	O
alguma	O
coisa	O
a	O
que	O
Vasco	B-PESSOA
Pulido	I-PESSOA
Valente	I-PESSOA
já	O
não	O
tenha	O
chamado	O
``	O
ignorante	O
''	O
?	O
Protocolo	B-OBRA
de	I-OBRA
Quioto	I-OBRA
Decreto	B-OBRA
7/2002	I-OBRA
,	O
de	B-TEMPO
25	I-TEMPO
de	I-TEMPO
Março	I-TEMPO
que	O
aprova	O
o	O
Protocolo	B-OBRA
de	I-OBRA
Quioto	I-OBRA
à	O
Convenção	B-OBRA
Quadro	I-OBRA
das	I-OBRA
Nações	I-OBRA
Unidas	I-OBRA
sobre	I-OBRA
Alterações	I-OBRA
Climáticas	I-OBRA
Documentos	O
relacionados	O
com	O
o	O
PNALE	B-OBRA
Decisão	O
da	O
Comissão	B-ORGANIZACAO
Europeia	I-ORGANIZACAO
sobre	O
o	O
PNALE	B-OBRA
português	O
Comunicado	O
de	O
imprensa	O
da	O
COMISSÃO	B-ORGANIZACAO
-	O
``	O
Comércio	B-OUTRO
de	I-OUTRO
Emissões	I-OUTRO
:	O
a	O
Comissão	B-ORGANIZACAO
deu	O
o	O
seu	O
aval	O
a	O
mais	O
oito	O
planos	O
,	O
abrindo	O
caminho	O
para	O
o	O
início	O
do	O
Comércio	B-OUTRO
de	I-OUTRO
Emissões	I-OUTRO
na	O
data	O
prevista	O
''	O
(	O
IP/04/1250	O
)	O
Plano	B-OBRA
Nacional	I-OBRA
de	I-OBRA
Atribuição	I-OBRA
de	I-OBRA
Licenças	I-OBRA
de	I-OBRA
Emissão	I-OBRA
-	O
PNALE	B-OBRA
2005-2007	I-OBRA
(	O
versão	O
notificada	O
à	O
Comissão	B-ORGANIZACAO
Europeia	I-ORGANIZACAO
)	O
PNALE	B-OBRA
2005-2007	I-OBRA
-	I-OBRA
Relatório	I-OBRA
da	I-OBRA
Consulta	I-OBRA
Pública	I-OBRA
Metodologia	B-OBRA
de	I-OBRA
Atribuição	I-OBRA
de	I-OBRA
Licenças	I-OBRA
de	I-OBRA
Emissão	I-OBRA
-	I-OBRA
PNALE	I-OBRA
2005-2007	I-OBRA
Documentos	O
relacionados	O
com	O
o	O
Comércio	B-OUTRO
Europeu	I-OUTRO
de	I-OUTRO
Licenças	I-OUTRO
de	I-OUTRO
Emissão	I-OUTRO
Directiva	O
2003/87/CE	O
do	O
Parlamento	B-ORGANIZACAO
Europeu	I-ORGANIZACAO
e	O
do	O
Concelho	B-ORGANIZACAO
,	O
de	B-TEMPO
13	I-TEMPO
de	I-TEMPO
Outubro	I-TEMPO
de	I-TEMPO
2003	I-TEMPO
,	O
relativa	O
à	O
criação	O
de	O
um	O
regime	O
de	O
comércio	O
de	O
licenças	O
de	O
emissão	O
de	O
gases	O
com	O
efeito	O
de	O
estufa	O
na	O
Comunidade	B-LOCAL
e	O
que	O
altera	O
a	O
Directiva	O
96/61/CE	O
do	O
Conselho	B-ORGANIZACAO
Decreto-Lei	B-OBRA
n.º	I-OBRA
233/2004	I-OBRA
,	O
de	B-TEMPO
14	I-TEMPO
de	I-TEMPO
Dezembro	I-TEMPO
,	O
alterado	O
pelo	O
Decreto-Lei	B-OBRA
n.º	I-OBRA
243-A/2004	I-OBRA
,	O
de	B-TEMPO
31	I-TEMPO
de	I-TEMPO
Dezembro	I-TEMPO
,	O
que	O
estabelece	O
o	O
regime	O
de	O
comércio	O
de	O
licenças	O
de	O
gases	O
com	O
efeito	O
de	O
estufa	O
na	O
União	B-LOCAL
Europeia	I-LOCAL
Decisão	B-OBRA
da	I-OBRA
Comissão	I-OBRA
n.º	I-OBRA
156/2004	I-OBRA
,	O
de	B-TEMPO
29	I-TEMPO
de	I-TEMPO
Janeiro	I-TEMPO
de	I-TEMPO
2004	I-TEMPO
,	O
que	O
estabelece	O
orientações	O
para	O
a	O
monitorização	O
e	O
comunicação	O
de	O
informações	O
relativas	O
às	O
emissões	O
de	O
gases	O
com	O
efeito	O
de	O
estufa	O
Regulamento	O
(	O
CE	O
)	O
n.º	O
2216/2004	O
da	O
Comissão	B-ORGANIZACAO
de	B-TEMPO
21	I-TEMPO
de	I-TEMPO
Dezembro	I-TEMPO
de	I-TEMPO
2004	I-TEMPO
,	O
relativo	O
a	O
um	O
sistema	O
de	O
registos	O
normalizado	O
e	O
protegido	O
em	O
conformidade	O
com	O
a	O
Directiva	B-OBRA
2003/87/CE	I-OBRA
do	O
Parlamento	B-ORGANIZACAO
Europeu	I-ORGANIZACAO
e	O
do	O
Conselho	B-ORGANIZACAO
e	O
a	O
Decisão	B-OBRA
n.º	I-OBRA
280/2004/CE	I-OBRA
do	O
Parlamento	B-ORGANIZACAO
Europeu	I-ORGANIZACAO
e	O
do	O
Conselho	B-ORGANIZACAO
International	O
Emissions	O
Trading	O
Association	O
,	O
``	O
Guidelines	O
for	O
an	O
accredited	O
verification	O
system	O
of	O
the	O
greenhouse	O
gas	O
emissions	O
within	O
the	O
EU	O
Emissions	O
Trading	O
Scheme	O
''	O
(	O
em	O
inglês	O
)	O
Directiva	B-OBRA
2004/101/CE	I-OBRA
do	O
Parlamento	B-ORGANIZACAO
Europeu	I-ORGANIZACAO
e	O
do	O
Conselho	B-ORGANIZACAO
,	O
de	B-TEMPO
27	I-TEMPO
de	I-TEMPO
Outubro	I-TEMPO
de	I-TEMPO
2004	I-TEMPO
,	O
que	O
altera	O
a	O
Directiva	B-OBRA
2003/87/CE	I-OBRA
relativa	O
à	O
criação	O
de	O
um	O
regime	O
de	O
comércio	O
de	O
licenças	O
de	O
emissão	O
de	O
gases	O
com	O
efeito	O
de	O
estufa	O
na	O
Comunidade	B-LOCAL
,	O
no	O
que	O
diz	O
respeito	O
aos	O
mecanismos	O
baseados	O
em	O
projectos	O
do	O
Protocolo	B-OBRA
de	I-OBRA
Quioto	I-OBRA
Cavaco	B-PESSOA
começa	O
ano	B-TEMPO
com	O
recados	O
de	O
maior	O
exigência	O
ao	O
Governo	B-ORGANIZACAO
O	O
Presidente	B-PESSOA
da	I-PESSOA
República	I-PESSOA
,	O
Aníbal	B-PESSOA
Cavaco	I-PESSOA
Silva	I-PESSOA
,	O
vai	O
deixar	O
uma	O
série	O
de	O
recados	O
ao	O
Governo	B-ORGANIZACAO
nas	O
palavras	O
que	O
vai	O
dirigir	O
ao	O
país	O
no	B-TEMPO
primeiro	I-TEMPO
dia	I-TEMPO
do	I-TEMPO
ano	I-TEMPO
.	O
A	O
notícia	O
faz	O
manchete	O
na	O
edição	O
desta	B-TEMPO
terça-feira	I-TEMPO
do	O
Jornal	B-LOCAL
de	I-LOCAL
Notícias	I-LOCAL
,	O
com	O
o	O
diário	O
portuense	O
a	O
assegurar	O
que	O
Cavaco	B-PESSOA
prepara	O
,	O
para	O
a	O
sua	O
primeira	O
comunicação	O
em	B-TEMPO
2008	I-TEMPO
ao	O
País	B-PESSOA
,	O
um	O
discurso	O
com	O
menos	O
optimismo	O
do	O
que	O
o	O
transmitido	O
por	O
Sócrates	B-PESSOA
mensagem	O
de	B-TEMPO
Natal	I-TEMPO
.	O
Afirmando	O
esperar	O
um	B-TEMPO
ano	I-TEMPO
de	I-TEMPO
2008	I-TEMPO
mais	O
exigente	O
do	O
que	O
2007	B-TEMPO
,	O
o	O
Presidente	B-PESSOA
da	I-PESSOA
República	I-PESSOA
promete	O
,	O
ao	B-TEMPO
longo	I-TEMPO
do	I-TEMPO
próximo	I-TEMPO
ano	I-TEMPO
,	O
dar	O
toda	O
a	O
atenção	O
a	O
temas	O
sociais	O
,	O
sobretudo	O
o	O
desemprego	O
,	O
e	O
andar	O
pelo	O
país	O
a	O
mostrar	O
bons	O
exemplos	O
da	O
criação	O
de	O
postos	O
de	O
trabalho.	O
Segundo	O
o	O
JN	O
,	O
Cavaco	O
silva	O
vai	O
ainda	O
aproveitar	O
a	O
ocasião	O
para	O
sublinhar	O
a	O
expectativa	O
criada	O
em	O
relação	O
aos	O
resultados	O
que	O
pediu	O
no	B-TEMPO
ano	I-TEMPO
passado	I-TEMPO
ao	O
Governo	B-ORGANIZACAO
,	O
para	O
as	O
áreas	O
da	O
economia	O
,	O
educação	O
e	O
justiça	O
Lobotomia	O
História	O
Foi	O
desenvolvida	O
em	B-TEMPO
1935	I-TEMPO
pelo	O
médico	O
neurologista	O
português	O
António	B-PESSOA
Egas	I-PESSOA
Moniz	I-PESSOA
(	O
1874-1955	B-TEMPO
)	O
,	O
em	O
equipe	O
com	O
o	O
cirurgião	O
Almeida	B-PESSOA
Lima	I-PESSOA
,	O
na	O
Universidade	B-LOCAL
de	O
Lisboa	B-LOCAL
.	O
Egas	B-PESSOA
Moniz	I-PESSOA
veio	O
a	O
receber	O
com	O
este	O
trabalho	O
o	O
prêmio	O
Nobel	B-OUTRO
da	I-OUTRO
Medicina	I-OUTRO
e	I-OUTRO
Fisiologia	I-OUTRO
em	B-TEMPO
1949	I-TEMPO
.	O
A	O
Leucotomia	B-COISA
foi	O
a	O
primeira	O
técnica	O
de	O
Psicocirurgia	B-ABSTRACCAO
ou	O
seja	O
,	O
a	O
utilização	O
de	O
manipulações	O
orgânicas	O
do	O
cérebro	O
para	O
curar	O
ou	O
melhorar	O
sintomas	O
de	O
uma	O
patologia	O
psiquiátrica	O
(	O
em	O
contrapartida	O
à	O
neurocirurgia	O
que	O
se	O
ocupa	O
de	O
doentes	O
com	O
patologia	O
orgânica	O
directa	O
ou	O
neurológica	O
)	O
.	O
Inicialmente	O
foi	O
usada	O
para	O
tratar	O
depressão	O
severa.	O
Egas	B-PESSOA
Moniz	I-PESSOA
sempre	O
defendeu	O
o	O
seu	O
uso	O
apenas	O
em	O
casos	O
graves	O
em	O
que	O
houvesse	O
risco	O
de	O
violência	O
ou	O
suicídio.	O
No	O
entanto	O
apesar	O
de	O
cerca	B-VALOR
de	I-VALOR
6	I-VALOR
%	I-VALOR
dos	O
pacientes	O
não	O
sobreviverem	O
à	O
operação	O
,	O
e	O
de	O
vários	O
outros	O
ficarem	O
com	O
alterações	O
da	O
personalidade	O
muito	O
severos	O
,	O
foi	O
praticada	O
com	O
entusiasmo	O
excessivo	O
em	O
muitos	O
paises	O
,	O
nomeadamente	O
o	O
