THANKSGIVING	B-ACONTECIMENTO_EFEMERIDE
AAC	B-ORGANIZACAO_INSTITUICAO
(	O
que	O
se	O
mantém	O
na	O
pratica	O
amadora	O
)	O
,	O
mas	O
é	O
hoje	B-TEMPO_GENERICO
um	O
clube	O
independente	O
,	O
cuja	O
ligação	O
com	O
a	O
AAC	B-ORGANIZACAO_INSTITUICAO
é	O
cada	O
vez	O
mais	O
ténue.	O
A	O
AAC	B-ORGANIZACAO_INSTITUICAO
é	O
dirigida	O
pela	O
Direcção	B-ORGANIZACAO_INSTITUICAO
Geral	I-ORGANIZACAO_INSTITUICAO
(	O
DG	B-ORGANIZACAO_INSTITUICAO
)	O
,	O
composta	O
por	O
estudantes	O
,	O
e	O
eleita	O
anualmente	B-TEMPO_FREQUENCIA
entre	B-TEMPO_TEMPO_CALEND
Novembro	I-TEMPO_TEMPO_CALEND
e	I-TEMPO_TEMPO_CALEND
Dezembro	I-TEMPO_TEMPO_CALEND
em	O
eleições	O
abertas	O
a	O
todos	O
os	O
sócios	O
,	O
tanto	O
estudantes	O
como	O
os	O
sócios	O
seccionistas.	O
À	O
DG	B-ORGANIZACAO_INSTITUICAO
compete	O
a	O
administração	O
da	O
AAC	B-ORGANIZACAO_INSTITUICAO
bem	O
como	O
a	O
representação	O
política	O
dos	O
estudantes.	O
Em	O
termos	O
políticos	O
,	O
é	O
ainda	O
de	O
referir	O
a	O
importância	O
das	O
Assembleias	B-ACONTECIMENTO_ORGANIZADO
Magnas	I-ACONTECIMENTO_ORGANIZADO
,	O
assembleias	O
sobretudo	O
de	O
discussão	O
da	O
política	O
da	O
Academia	B-ORGANIZACAO_INSTITUICAO
,	O
abertas	O
a	O
todos	O
os	O
sócios	O
,	O
cujas	O
decisões	O
têm	O
de	O
ser	O
obrigatoriamente	O
cumpridas	O
,	O
independentemente	O
da	O
opinião	O
da	O
DG	B-ORGANIZACAO_INSTITUICAO
.	O
Este	O
poder	O
decisório	O
da	O
Assembleia	B-ORGANIZACAO_INSTITUICAO
Magna	I-ORGANIZACAO_INSTITUICAO
torna-a	O
no	O
palco	O
de	O
discussões	O
acesas	O
,	O
sobretudo	O
entre	O
os	O
estudantes	O
politizados.	O
No	O
passado	O
recente	O
,	O
tem	O
havido	O
no	O
mínimo	O
5-6	B-VALOR_QUANTIDADE
Assembleias	B-ACONTECIMENTO_ORGANIZADO
Magnas	I-ACONTECIMENTO_ORGANIZADO
por	B-TEMPO_FREQUENCIA
ano	I-TEMPO_FREQUENCIA
,	O
com	O
participação	O
oscilante	O
,	O
mas	O
um	O
mínimo	O
de	O
cerca	B-VALOR_QUANTIDADE
de	I-VALOR_QUANTIDADE
200	I-VALOR_QUANTIDADE
sócios.	O
Infelizmente	O
,	O
a	O
falta	O
de	O
interesse	O
generalizado	O
por	O
estas	O
questões	O
na	O
nossa	O
sociedade	O
,	O
particularmente	O
nas	O
faixas	O
etárias	O
mais	O
jovens	O
,	O
faz-se	O
reflectir	O
na	O
fraca	O
participação	O
das	O
Assembleias	B-ACONTECIMENTO_ORGANIZADO
Magnas	I-ACONTECIMENTO_ORGANIZADO
[	O
carece	O
de	O
fontes	O
?	O
]	O
.	O
No	O
entanto	O
,	O
a	O
AAC	B-ORGANIZACAO_INSTITUICAO
continua	O
a	O
lutar	O
para	O
pautar	O
a	O
política	O
educativa	O
do	O
Ensino	B-ABSTRACCAO_DISCIPLINA
Superior	I-ABSTRACCAO_DISCIPLINA
em	O
Portugal	B-LOCAL_HUMANO
[	O
carece	O
de	O
fontes	O
?	O
]	O
.	O
O	O
actual	O
edifício	O
da	O
AAC	B-ORGANIZACAO_INSTITUICAO
foi	O
inaugurado	O
em	B-TEMPO_TEMPO_CALEND
1961	I-TEMPO_TEMPO_CALEND
e	O
alberga	O
praticamente	O
todas	O
as	O
secções	O
da	O
AAC	B-ORGANIZACAO_INSTITUICAO
,	O
estando	O
integrado	O
num	O
quarteirão	O
que	O
inclui	O
ainda	O
uma	O
sala	O
de	O
espectáculos	O
(	O
Teatro	B-LOCAL_HUMANO
Académico	I-LOCAL_HUMANO
de	I-LOCAL_HUMANO
Gil	I-LOCAL_HUMANO
Vicente	I-LOCAL_HUMANO
)	O
e	O
um	O
complexo	O
de	O
cantinas.	O
Lápis-lazúli	O
,	O
conhecido	O
também	O
como	O
lápis	O
,	O
é	O
uma	O
rocha	O
metamórfica	O
de	O
cor	O
azul	O
utilizada	O
como	O
gema	O
ou	O
como	O
rocha	O
ornamental	O
utilizada	O
desde	B-TEMPO_TEMPO_CALEND
antes	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
7000	I-TEMPO_TEMPO_CALEND
a.C.	I-TEMPO_TEMPO_CALEND
em	O
Mehrgarh	B-LOCAL_HUMANO
na	O
Índia	B-LOCAL_HUMANO
,	O
situado	O
nos	B-TEMPO_GENERICO
dias	I-TEMPO_GENERICO
de	I-TEMPO_GENERICO
hoje	I-TEMPO_GENERICO
no	O
Paquistão	B-LOCAL_HUMANO
.	O
A	O
sua	O
azul-escura	O
e	O
opaca	O
,	O
fez	O
com	O
que	O
esta	O
gema	O
fosse	O
altamente	O
apreciada	O
pelos	O
faraós	O
egípcios	O
,	O
como	O
pode	O
ser	O
visto	O
por	O
seu	O
uso	O
proeminente	O
em	O
muitos	O
dos	O
tesouros	O
recuperados	O
dos	O
túmulos	O
faraônicos.	O
É	O
ainda	O
extremamente	O
popular	O
hoje	B-TEMPO_GENERICO
.	O
Trata-se	O
de	O
uma	O
rocha	O
e	O
não	O
de	O
um	O
mineral	O
porque	O
é	O
composto	O
de	O
vários	O
minerais.	O
A	O
primeira	O
parte	O
do	O
nome	O
,	O
lápis	O
,	O
em	O
latim	O
significa	O
pedra.	O
A	O
segunda	O
parte	O
,	O
lazúli	O
,	O
é	O
a	O
forma	O
genitiva	O
no	O
latim	O
,	O
lazulum	O
,	O
que	O
veio	O
do	O
árabe	O
(	O
al	O
)	O
-	O
lazward	O
,	O
que	O
veio	O
do	O
persa	O
lazhward	O
,	O
que	O
veio	O
do	O
sânscrito	O
Raja	B-ABSTRACCAO_NOME
Warta	I-ABSTRACCAO_NOME
significando	O
anel	O
,	O
vida	O
do	O
rei.	O
Lazúli	O
era	O
originalmente	O
um	O
nome	O
,	O
mas	O
logo	O
veio	O
a	O
significar	O
azul	O
por	O
causa	O
de	O
sua	O
associação	O
com	O
a	O
pedra.	O
A	O
palavra	O
em	O
inglês	O
azure	O
,	O
do	O
azul	O
espanhol	O
e	O
português	O
,	O
e	O
o	O
azzurro	O
italiano	O
são	O
cognatos.	O
História	O
No	O
antigo	O
Egito	B-LOCAL_HUMANO
o	O
lápis-lazúli	O
era	O
a	O
pedra	O
favorita	O
para	O
amuletos	O
e	O
ornamentos	O
;	O
foi	O
usado	O
também	O
pelos	O
assírios	O
e	O
pelos	O
babilônicos	O
nos	O
selos	O
cilíndricos	O
(	O
locais	O
onde	O
se	O
gravavam	O
pinturas	O
contando	O
a	O
historia	O
do	O
povo	O
)	O
.	O
As	O
escavações	O
egípcias	O
que	O
datam	O
de	B-TEMPO_TEMPO_CALEND
3000	I-TEMPO_TEMPO_CALEND
a.C.	I-TEMPO_TEMPO_CALEND
continham	O
milhares	O
de	O
artigos	O
como	O
jóia	O
,	O
muitos	O
feitos	O
de	O
lápis.	O
Os	O
lápis	O
pulverizados	O
foram	O
usados	O
por	O
senhoras	O
egípcias	O
como	O
uma	O
sombra	O
cosmética	O
para	O
o	O
olho.	O
Como	O
inscrito	O
no	O
capítulo	O
140	O
do	O
Livro	B-OBRA_REPRODUZIDA
dos	I-OBRA_REPRODUZIDA
Mortos	I-OBRA_REPRODUZIDA
egípcio	O
,	O
o	O
lápis	O
lazúli	O
,	O
na	O
forma	O
de	O
um	O
olho	O
ajustado	O
no	O
ouro	O
,	O
foi	O
considerado	O
um	O
amuleto	O
de	O
grande	O
poder.	O
No	B-TEMPO_FREQUENCIA
último	I-TEMPO_FREQUENCIA
dia	I-TEMPO_FREQUENCIA
do	I-TEMPO_FREQUENCIA
mês	I-TEMPO_FREQUENCIA
,	O
oferecia-se	O
este	O
olho	O
simbólico	O
,	O
porque	O
se	O
acreditava	O
que	O
,	O
nesse	B-TEMPO_TEMPO_CALEND
dia	I-TEMPO_TEMPO_CALEND
,	O
um	O
ser	O
supremo	O
colocou	O
tal	O
imagem	O
em	O
sua	O
cabeça.	O
Os	O
antigos	O
túmulos	O
reais	O
sumérios	O
de	O
Ur	B-LOCAL_HUMANO
,	O
situados	O
perto	O
do	O
rio	O
Eufrates	B-LOCAL_FISICO
no	O
baixo	O
Iraque	B-LOCAL_HUMANO
,	O
continham	O
mais	B-VALOR_QUANTIDADE
de	I-VALOR_QUANTIDADE
6000	I-VALOR_QUANTIDADE
estatuetas	O
belamente	O
executadas	O
,	O
de	O
lápis-lazúli	O
,	O
de	O
pássaros	O
,	O
cervos	O
,	O
e	O
roedores	O
bem	O
como	O
pratos	O
,	O
grânulos	O
,	O
e	O
selos	O
de	O
cilindro.	O
Estes	O
artefatos	O
vieram	O
indubitavelmente	O
do	O
material	O
minado	O
em	O
Badakhshan	B-LOCAL_HUMANO
no	O
norte	O
do	O
Afeganistão	B-LOCAL_HUMANO
.	O
Curiosidades	O
É	O
a	O
pedra	O
oficial	O
do	O
anel	O
de	O
formatura	O
dos	O
psicologos	O
,	O
assim	O
considerada	O
a	B-TEMPO_TEMPO_CALEND
partir	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
31	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
março	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
2006	I-TEMPO_TEMPO_CALEND
,	O
pela	O
resolução	O
Nº	O
002/2006	O
,	O
do	O
Conselho	B-ORGANIZACAO_INSTITUICAO
Federal	I-ORGANIZACAO_INSTITUICAO
de	I-ORGANIZACAO_INSTITUICAO
Psicologia	I-ORGANIZACAO_INSTITUICAO
brasileiro.	O
2008	B-TEMPO_TEMPO_CALEND
:	O
preços	O
de	O
bens	O
e	O
serviços	O
sobem	O
acima	O
da	O
inflação	O
Os	O
preços	O
de	O
diversos	O
bens	O
e	O
serviços	O
vão	O
aumentar	O
,	O
no	B-TEMPO_TEMPO_CALEND
próximo	I-TEMPO_TEMPO_CALEND
ano	I-TEMPO_TEMPO_CALEND
,	O
acima	O
da	O
inflação	O
de	O
2,1	B-VALOR_QUANTIDADE
%	I-VALOR_QUANTIDADE
prevista	O
pelo	O
Governo	B-ORGANIZACAO_ADMINISTRACAO
para	B-TEMPO_TEMPO_CALEND
2008	I-TEMPO_TEMPO_CALEND
,	O
com	O
destaque	O
para	O
o	O
pão	O
,	O
com	O
os	O
industriais	O
do	O
sector	O
a	O
estimarem	O
uma	O
evolução	O
de	O
dois	O
dígitos.	O
A	O
electricidade	O
vai	O
aumentar	O
,	O
de	O
acordo	O
com	O
a	O
proposta	O
da	O
Entidade	B-ORGANIZACAO_INSTITUICAO
Reguladora	I-ORGANIZACAO_INSTITUICAO
dos	I-ORGANIZACAO_INSTITUICAO
Serviços	I-ORGANIZACAO_INSTITUICAO
Energéticos	I-ORGANIZACAO_INSTITUICAO
(	O
ERSE	B-ORGANIZACAO_INSTITUICAO
)	O
,	O
aprovada	O
pelo	O
Conselho	B-ORGANIZACAO_INSTITUICAO
Tarifário	I-ORGANIZACAO_INSTITUICAO
,	O
2,9	B-VALOR_QUANTIDADE
%	I-VALOR_QUANTIDADE
,	O
em	O
média	O
,	O
em	O
Portugal	B-LOCAL_HUMANO
Continental	I-LOCAL_HUMANO
,	O
2,6	B-VALOR_QUANTIDADE
%	I-VALOR_QUANTIDADE
nos	O
Açores	B-LOCAL_HUMANO
e	O
4,9	B-VALOR_QUANTIDADE
%	I-VALOR_QUANTIDADE
na	O
Madeira	B-LOCAL_HUMANO
.	O
A	O
maioria	O
dos	O
consumidores	O
domésticos	O
podem	O
assim	O
esperar	O
uma	O
subida	O
da	O
factura	O
mensal	O
de	O
1,08	B-VALOR_MOEDA
euros	I-VALOR_MOEDA
no	B-TEMPO_TEMPO_CALEND
próximo	I-TEMPO_TEMPO_CALEND
ano	I-TEMPO_TEMPO_CALEND
,	O
mas	O
os	O
clientes	O
industriais	O
sofrerão	O
um	O
aumento	O
médio	O
de	O
3,0	B-VALOR_QUANTIDADE
%	I-VALOR_QUANTIDADE
,	O
com	O
maior	O
peso	O
para	O
os	O
de	O
muita	O
alta	O
tensão	O
(	O
MAT	O
)	O
e	O
alta	O
tensão	O
(	O
AT	O
)	O
que	O
terão	O
uma	O
subida	O
de	O
3,9	B-VALOR_QUANTIDADE
%	I-VALOR_QUANTIDADE
.	O
Os	O
clientes	O
de	O
média	O
tensão	O
(	O
MT	O
)	O
terão	O
um	O
aumento	O
de	O
2,7	B-VALOR_QUANTIDADE
%	I-VALOR_QUANTIDADE
,	O
enquanto	O
os	O
de	O
baixa	O
tensão	O
especial	O
(	O
BTE	O
)	O
,	O
normalmente	O
pequenas	O
empresas	O
,	O
terão	O
um	O
aumento	O
de	O
2,5	B-VALOR_QUANTIDADE
%	I-VALOR_QUANTIDADE
.	O
Um	O
dos	O
casos	O
em	O
que	O
a	O
subida	O
dos	O
preços	O
mais	O
ultrapassa	O
o	O
valor	O
da	O
inflação	O
prevista	O
pelo	O
Governo	B-ORGANIZACAO_ADMINISTRACAO
é	O
o	O
do	O
pão	O
,	O
que	O
deverá	O
aumentar	O
10	B-VALOR_QUANTIDADE
a	I-VALOR_QUANTIDADE
15	I-VALOR_QUANTIDADE
%	I-VALOR_QUANTIDADE
em	B-TEMPO_TEMPO_CALEND
Janeiro	I-TEMPO_TEMPO_CALEND
ou	O
Fevereiro	B-TEMPO_TEMPO_CALEND
,	O
segundo	O
contas	O
feitas	O
pela	O
direcção	O
da	O
Associação	B-ORGANIZACAO_INSTITUICAO
dos	I-ORGANIZACAO_INSTITUICAO
Industriais	I-ORGANIZACAO_INSTITUICAO
de	I-ORGANIZACAO_INSTITUICAO
Panificação	I-ORGANIZACAO_INSTITUICAO
,	I-ORGANIZACAO_INSTITUICAO
Pastelaria	I-ORGANIZACAO_INSTITUICAO
e	I-ORGANIZACAO_INSTITUICAO
Similares	I-ORGANIZACAO_INSTITUICAO
do	O
Norte	B-LOCAL_HUMANO
(	O
AIPAN	B-ORGANIZACAO_INSTITUICAO
)	O
.	O
Em	O
declarações	O
à	O
agência	O
Lusa	B-ORGANIZACAO_EMPRESA
,	O
António	B-PESSOA_INDIVIDUAL
Fontes	I-PESSOA_INDIVIDUAL
,	O
da	O
AIPAN	B-ORGANIZACAO_INSTITUICAO
,	O
disse	O
que	O
o	O
preço	O
do	O
pão	O
terá	O
de	O
aumentar	O
para	O
fazer	O
face	O
à	O
subida	O
de	O
92	B-VALOR_QUANTIDADE
%	I-VALOR_QUANTIDADE
registada	O
ao	B-TEMPO_TEMPO_CALEND
longo	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
2007	I-TEMPO_TEMPO_CALEND
no	O
preço	O
da	O
matéria-prima	O
de	O
base	O
(	O
farinha	O
)	O
.	O
Desde	O
o	O
último	O
aumento	O
do	O
preço	O
do	O
pão	O
,	O
em	B-TEMPO_TEMPO_CALEND
Janeiro	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
2004	I-TEMPO_TEMPO_CALEND
,	O
o	O
preço	O
da	O
farinha	O
mais	O
do	O
que	O
duplicou	O
,	O
o	O
das	O
leveduras	O
subiu	O
40	B-VALOR_QUANTIDADE
%	I-VALOR_QUANTIDADE
,	O
o	O
da	O
energia	O
25	B-VALOR_QUANTIDADE
%	I-VALOR_QUANTIDADE
,	O
o	O
do	O
gás	O
32	B-VALOR_QUANTIDADE
%	I-VALOR_QUANTIDADE
,	O
o	O
do	O
gasóleo	O
70	B-VALOR_QUANTIDADE
%	I-VALOR_QUANTIDADE
e	O
os	O
custos	O
com	O
pessoal	O
14	B-VALOR_QUANTIDADE
%	I-VALOR_QUANTIDADE
,	O
explicou.	O
O	O
preço	O
do	O
arroz	O
,	O
cujo	O
consumo	O
per	O
capita	O
em	O
Portugal	B-LOCAL_HUMANO
é	O
o	O
mais	O
alto	O
da	O
Europa	B-LOCAL_HUMANO
,	O
deverá	O
igualmente	O
aumentar	O
,	O
apesar	O
de	O
os	O
industriais	O
não	O
conseguirem	O
ainda	O
prever	O
o	O
valor	O
real	O
a	O
pagar	O
pelos	O
consumidores.	O
A	O
Associação	B-ORGANIZACAO_INSTITUICAO
Nacional	I-ORGANIZACAO_INSTITUICAO
dos	I-ORGANIZACAO_INSTITUICAO
Industriais	I-ORGANIZACAO_INSTITUICAO
de	I-ORGANIZACAO_INSTITUICAO
Arroz	I-ORGANIZACAO_INSTITUICAO
(	O
ANIA	B-ORGANIZACAO_INSTITUICAO
)	O
explicou	O
que	O
um	O
conjunto	O
de	O
factores	O
a	O
nível	O
do	O
mercado	O
internacional	O
-	O
aumento	O
do	O
preço	O
das	O
matérias-primas	O
com	O
parte	O
da	O
produção	O
a	O
ser	O
desviada	O
para	O
o	O
fabrico	O
de	O
biocombustíveis	O
-	O
provocou	O
em	O
Portugal	B-LOCAL_HUMANO
um	O
acréscimo	O
do	O
valor	O
por	O
tonelada	O
de	O
200	B-VALOR_MOEDA
a	I-VALOR_MOEDA
230	I-VALOR_MOEDA
euros	I-VALOR_MOEDA
em	B-TEMPO_TEMPO_CALEND
2006	I-TEMPO_TEMPO_CALEND
para	O
280	B-VALOR_MOEDA
a	I-VALOR_MOEDA
290	I-VALOR_MOEDA
euros	I-VALOR_MOEDA
este	B-TEMPO_TEMPO_CALEND
ano	I-TEMPO_TEMPO_CALEND
.	O
Nos	O
transportes	O
públicos	O
,	O
a	O
subida	O
é	O
,	O
em	O
média	O
,	O
de	O
3,9	B-VALOR_QUANTIDADE
%	I-VALOR_QUANTIDADE
,	O
e	O
nas	O
portagens	O
das	O
auto-estradas	O
será	O
de	O
2,6	B-VALOR_QUANTIDADE
%	I-VALOR_QUANTIDADE
,	O
também	O
,	O
em	O
média	O
,	O
seguindo	O
o	O
estipulado	O
na	O
lei	O
,	O
que	O
obriga	O
as	O
concessionárias	O
a	O
apresentar	O
``	O
até	B-TEMPO_TEMPO_CALEND
15	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
Novembro	I-TEMPO_TEMPO_CALEND
as	O
propostas	O
de	O
aumentos	O
de	O
portagens	O
,	O
tendo	O
como	O
por	O
base	O
a	O
última	O
inflação	O
homóloga	O
conhecida.	O
Nem	O
todas	O
as	O
portagens	O
sofrerão	O
alterações	O
,	O
uma	O
vez	O
que	O
os	O
contratos	O
de	O
concessão	O
determinam	O
que	O
os	O
aumentos	O
sejam	O
arredondados	O
em	O
múltiplos	O
de	O
5	B-VALOR_MOEDA
cêntimos	I-VALOR_MOEDA
.	O
O	O
tabaco	O
também	O
vai	O
pesar	O
mais	O
na	O
carteira	O
:	O
o	O
Governo	B-ORGANIZACAO_ADMINISTRACAO
decidiu	O
em	B-TEMPO_TEMPO_CALEND
2005	I-TEMPO_TEMPO_CALEND
que	O
o	O
Imposto	O
sobre	O
o	O
Tabaco	O
teria	O
um	O
aumento	O
médio	O
anual	O
de	O
15	B-VALOR_QUANTIDADE
%	I-VALOR_QUANTIDADE
até	B-TEMPO_TEMPO_CALEND
2009	I-TEMPO_TEMPO_CALEND
e	O
,	O
a	B-TEMPO_TEMPO_CALEND
partir	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
Janeiro	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
2008	I-TEMPO_TEMPO_CALEND
,	O
um	O
maço	O
das	O
marcas	O
mais	O
comercializadas	O
poderá	O
mesmo	O
aumentar	O
,	O
em	O
média	O
,	O
30	B-VALOR_MOEDA
cêntimos	I-VALOR_MOEDA
.	O
Sem	O
contas	O
fechadas	O
,	O
os	O
CTT	B-ORGANIZACAO_EMPRESA
adiantam	O
que	O
«	O
os	O
preços	O
dos	O
serviços	O
de	O
correios	O
não	O
vão	O
aumentar	O
já	O
em	B-TEMPO_TEMPO_CALEND
Janeiro	I-TEMPO_TEMPO_CALEND
»	O
e	O
,	O
na	O
água	O
,	O
o	O
Instituto	B-ORGANIZACAO_INSTITUICAO
Regulador	I-ORGANIZACAO_INSTITUICAO
das	I-ORGANIZACAO_INSTITUICAO
Águas	I-ORGANIZACAO_INSTITUICAO
e	I-ORGANIZACAO_INSTITUICAO
Resíduos	I-ORGANIZACAO_INSTITUICAO
(	O
IRAR	B-ORGANIZACAO_INSTITUICAO
)	O
diz	O
que	O
o	O
procedimento	O
para	B-TEMPO_TEMPO_CALEND
2008	I-TEMPO_TEMPO_CALEND
está	O
actualmente	O
em	O
curso	O
,	O
prevendo-se	O
a	O
sua	O
conclusão	O
em	B-TEMPO_TEMPO_CALEND
Janeiro	I-TEMPO_TEMPO_CALEND
.	O
Quanto	O
às	O
empresas	O
concessionárias	O
dos	O
sistemas	O
municipais	O
,	O
as	O
tarifas	O
são	O
definidas	O
no	B-TEMPO_TEMPO_CALEND
momento	I-TEMPO_TEMPO_CALEND
do	O
estabelecimento	O
da	O
concessão	O
e	O
actualizadas	O
de	O
acordo	O
com	O
as	O
regras	O
constantes	O
do	O
respectivo	O
contrato	O
com	O
aprovação	O
pelo	O
município.	O
Mas	O
nem	O
tudo	O
são	O
más	O
notícias	O
,	O
tendo	O
em	O
conta	O
que	O
o	O
Salário	O
Mínimo	O
Nacional	O
vai	O
aumentar	O
,	O
a	B-TEMPO_TEMPO_CALEND
partir	I-TEMPO_TEMPO_CALEND
do	I-TEMPO_TEMPO_CALEND
dia	I-TEMPO_TEMPO_CALEND
1	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
Janeiro	I-TEMPO_TEMPO_CALEND
,	O
5,7	B-VALOR_QUANTIDADE
%	I-VALOR_QUANTIDADE
,	O
para	O
426	B-VALOR_MOEDA
euros	I-VALOR_MOEDA
.	O
O	O
valor	O
fixado	O
insere-se	O
no	O
acordo	O
tripartido	O
assinado	O
no	B-TEMPO_TEMPO_CALEND
ano	I-TEMPO_TEMPO_CALEND
passado	I-TEMPO_TEMPO_CALEND
e	O
que	O
prevê	O
uma	O
evolução	O
significativa	O
do	O
salário	O
mínimo	O
,	O
de	O
modo	O
a	O
atingir	O
os	O
450	B-VALOR_QUANTIDADE
euros	I-VALOR_QUANTIDADE
em	B-TEMPO_TEMPO_CALEND
2009	I-TEMPO_TEMPO_CALEND
e	O
os	O
500	B-VALOR_QUANTIDADE
euros	I-VALOR_QUANTIDADE
em	B-TEMPO_TEMPO_CALEND
2011	I-TEMPO_TEMPO_CALEND
.	O
O	O
``	O
Indexante	O
de	O
Apoios	O
Sociais	O
(	O
IAS	O
)	O
,	O
o	O
referencial	O
de	O
actualização	O
e	O
cálculo	O
das	O
prestações	O
sociais	O
,	O
deverá	O
situar-se	O
nos	O
407,4	B-VALOR_MOEDA
euros	I-VALOR_MOEDA
,	O
o	O
que	O
traduz	O
um	O
crescimento	O
de	O
2,4	B-VALOR_QUANTIDADE
%	I-VALOR_QUANTIDADE
,	O
a	B-TEMPO_TEMPO_CALEND
partir	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
Janeiro	I-TEMPO_TEMPO_CALEND
do	I-TEMPO_TEMPO_CALEND
próximo	I-TEMPO_TEMPO_CALEND
ano	I-TEMPO_TEMPO_CALEND
,	O
segundo	O
as	O
contas	O
feitas	O
pela	O
agência	O
Lusa	B-ORGANIZACAO_EMPRESA
.	O
Em	O
relação	O
à	O
actualização	O
das	O
pensões	O
atribuídas	O
pelo	O
sistema	O
de	O
Segurança	B-ORGANIZACAO_INSTITUICAO
Social	I-ORGANIZACAO_INSTITUICAO
,	O
as	O
pensões	O
de	O
valor	O
igual	O
ou	O
inferior	O
a	O
1,5	B-VALOR_MOEDA
IAS	I-VALOR_MOEDA
(	O
611,10	B-VALOR_MOEDA
euros	I-VALOR_MOEDA
)	O
são	O
actualizadas	O
em	O
2,7	B-VALOR_QUANTIDADE
%	I-VALOR_QUANTIDADE
,	O
as	O
pensões	O
entre	B-VALOR_MOEDA
1,5	I-VALOR_MOEDA
IAS	I-VALOR_MOEDA
e	I-VALOR_MOEDA
6	I-VALOR_MOEDA
IAS	I-VALOR_MOEDA
tem	O
uma	O
actualização	O
de	O
2,17	B-VALOR_QUANTIDADE
%	I-VALOR_QUANTIDADE
e	O
as	O
pensões	O
de	O
valor	O
superior	O
a	O
6	B-VALOR_MOEDA
IAS	I-VALOR_MOEDA
tem	O
um	O
aumento	O
de	O
1,88	B-VALOR_QUANTIDADE
%	I-VALOR_QUANTIDADE
.	O
Estes	O
valores	O
foram	O
calculados	O
com	O
base	O
na	O
lei	O
53-B/2006	O
,	O
de	B-TEMPO_TEMPO_CALEND
29	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
Dezembro	I-TEMPO_TEMPO_CALEND
,	O
que	O
cria	O
o	O
indexante	O
dos	O
apoios	O
sociais	O
e	O
novas	O
regras	O
de	O
actualização	O
das	O
pensões	O
e	O
outras	O
prestações	O
sociais	O
do	O
sistema	O
de	O
Segurança	B-ORGANIZACAO_INSTITUICAO
Social	I-ORGANIZACAO_INSTITUICAO
.	O
Como	O
se	O
chama	O
o	O
vocalista	O
do	O
grupo	O
U2	B-PESSOA_GRUPOMEMBRO
?	O
Com	O
que	O
idade	O
morreu	O
Elvis	B-PESSOA_INDIVIDUAL
Presley	I-PESSOA_INDIVIDUAL
?	O
Onde	O
está	O
a	O
Estátua	B-OBRA_ARTE
da	I-OBRA_ARTE
Liberdade	I-OBRA_ARTE
?	O
Em	O
que	O
cidade	O
italiana	O
fica	O
o	O
Coliseu	B-OBRA_ARTE
?	O
Em	O
que	O
cidade	O
fica	O
a	O
Praça	B-LOCAL_HUMANO
Navona	I-LOCAL_HUMANO
?	O
Onde	O
é	O
que	O
foi	O
construída	O
em	O
Itália	B-LOCAL_HUMANO
a	O
Villa	B-OBRA_ARTE
Medici	I-OBRA_ARTE
?	O
Que	O
companhia	O
britânica	O
foi	O
absorvida	O
pela	O
BMW	B-ORGANIZACAO_EMPRESA
em	B-TEMPO_TEMPO_CALEND
1994	I-TEMPO_TEMPO_CALEND
?	O
Quantos	O
milhões	O
de	O
libras	O
pagou	O
a	O
BMW	B-ORGANIZACAO_EMPRESA
pela	O
Rover	B-ORGANIZACAO_EMPRESA
?	O
Em	O
que	O
país	O
foi	O
construída	O
a	O
primeira	O
fábrica	O
da	O
BMW	B-ORGANIZACAO_EMPRESA
no	O
estrangeiro	O
?	O
Quem	O
foi	O
eleito	O
como	O
primeiro	O
presidente	O
negro	O
da	O
África	B-LOCAL_HUMANO
do	I-LOCAL_HUMANO
Sul	I-LOCAL_HUMANO
?	O
Como	O
se	O
chamava	O
o	O
vocalista	O
dos	O
Nirvana	B-PESSOA_GRUPOMEMBRO
?	O
Que	O
presidente	B-PESSOA_CARGO
dos	I-PESSOA_CARGO
Estados	I-PESSOA_CARGO
Unidos	I-PESSOA_CARGO
é	O
que	O
Francisco	B-PESSOA_INDIVIDUAL
Durán	I-PESSOA_INDIVIDUAL
tentou	O
matar	O
?	O
Que	O
filho	O
de	O
um	O
ex-presidente	B-PESSOA_CARGO
dos	I-PESSOA_CARGO
EUA	I-PESSOA_CARGO
foi	O
eleito	O
governador	B-PESSOA_CARGO
do	I-PESSOA_CARGO
Texas	I-PESSOA_CARGO
em	B-TEMPO_TEMPO_CALEND
1994	I-TEMPO_TEMPO_CALEND
?	O
Para	O
quantos	O
Óscares	O
foi	O
nomeado	O
``	O
