Mosteiro	B-OBRA_ARTE
deuses	O
podem	O
ser	O
representados	O
num	O
vaso	O
canopo	O
?	O
Quem	O
produz	O
o	O
Windows	B-COISA_CLASSE
95	I-COISA_CLASSE
?	O
Steve	B-PESSOA_INDIVIDUAL
Jobs	I-PESSOA_INDIVIDUAL
é	O
o	O
presidente	O
de	O
que	O
empresa	O
?	O
Como	O
se	O
chamava	O
o	O
serviço	O
secreto	O
da	O
RDA	B-LOCAL_HUMANO
?	O
David	B-PESSOA_INDIVIDUAL
Stern	I-PESSOA_INDIVIDUAL
é	O
o	O
comissário	O
de	O
que	O
organização	O
?	O
Que	O
rádio	O
emite	O
o	O
programa	O
de	O
Howard	B-PESSOA_INDIVIDUAL
Stern	I-PESSOA_INDIVIDUAL
?	O
Que	O
escola	O
foi	O
fundada	O
por	O
Walter	B-PESSOA_INDIVIDUAL
Groupis	I-PESSOA_INDIVIDUAL
?	O
A	O
que	O
ordem	O
pertencia	O
São	B-PESSOA_INDIVIDUAL
Tomás	I-PESSOA_INDIVIDUAL
de	I-PESSOA_INDIVIDUAL
Aquino	I-PESSOA_INDIVIDUAL
?	O
Que	O
ordem	O
foi	O
fundada	O
por	O
São	B-PESSOA_INDIVIDUAL
Francisco	I-PESSOA_INDIVIDUAL
de	I-PESSOA_INDIVIDUAL
Assis	I-PESSOA_INDIVIDUAL
?	O
Que	O
exército	O
era	O
comandado	O
por	O
Rommel	B-PESSOA_INDIVIDUAL
?	O
O	O
Bibendum	B-COISA_OBJECTO
é	O
a	O
mascote	O
de	O
que	O
empresa	O
?	O
Como	O
se	O
chamava	O
o	O
barco	O
de	O
Costeau	B-PESSOA_INDIVIDUAL
?	O
Que	O
tipo	O
de	O
leite	O
se	O
usa	O
para	O
fazer	O
mozzarella	O
?	O
Como	O
se	O
chamava	O
a	O
espada	O
do	O
Rei	B-PESSOA_INDIVIDUAL
Artur	I-PESSOA_INDIVIDUAL
?	O
As	O
bolotas	O
são	O
o	O
fruto	O
de	O
que	O
árvore	O
?	O
De	O
que	O
planta	O
se	O
obtêm	O
a	O
juncinha	O
?	O
De	O
que	O
material	O
é	O
feito	O
um	O
Moai	B-COISA_CLASSE
?	O
Que	O
come	O
um	O
quebra-ossos	O
?	O
Como	O
se	O
chamava	O
a	O
bomba	O
atómica	O
largada	O
em	O
Nagasaqui	B-LOCAL_HUMANO
?	O
Qual	O
foi	O
o	O
primeiro	O
libro	O
impresso	O
por	O
Gutenberg	B-PESSOA_INDIVIDUAL
?	O
Que	O
forma	O
tem	O
a	O
entrada	O
do	O
Museu	B-LOCAL_HUMANO
do	I-LOCAL_HUMANO
Louvre	I-LOCAL_HUMANO
?	O
Que	O
animais	O
puxam	O
o	O
carro	O
de	O
Cíbele	B-PESSOA_INDIVIDUAL
?	O
O	O
que	O
é	O
que	O
mede	O
a	O
escala	B-COISA_CLASSE
de	I-COISA_CLASSE
Mohs	I-COISA_CLASSE
?	O
Que	O
licor	O
se	O
faz	O
com	O
abrunheiro	O
?	O
Em	O
que	O
museu	O
estão	O
«	O
As	B-OBRA_ARTE
Meninas	I-OBRA_ARTE
»	O
de	O
Velasques	B-PESSOA_INDIVIDUAL
?	O
Que	O
escândalo	O
provocou	O
a	O
demissão	O
de	O
Nixon	B-PESSOA_INDIVIDUAL
?	O
Que	O
fabrica	O
a	O
Leica	B-ORGANIZACAO_EMPRESA
?	O
Que	O
lado	O
de	O
um	O
barco	O
é	O
bombordo	O
?	O
Como	O
se	O
chamam	O
as	O
bolas	O
usadas	O
no	O
Quidditch	B-ABSTRACCAO_DISCIPLINA
?	O
Quantas	O
pessoas	O
morreram	O
no	O
afundamento	O
do	O
USS	B-COISA_OBJECTO
Maine	I-COISA_OBJECTO
?	O
Quantos	O
atletas	O
participaram	O
nos	O
Jogos	B-ACONTECIMENTO_ORGANIZADO
Olímpicos	I-ACONTECIMENTO_ORGANIZADO
de	O
Barcelona	B-LOCAL_HUMANO
?	O
Quantos	O
habitantes	O
tem	O
a	O
Lituânia	B-LOCAL_HUMANO
?	O
Quantos	O
lugares	O
o	O
parlamento	O
da	O
Islândia	B-LOCAL_HUMANO
?	O
Quantos	O
anos	O
durarão	O
as	O
reservas	O
mundiais	O
de	O
petróleo	O
?	O
Quantas	O
vezes	O
é	O
que	O
Alain	B-PESSOA_INDIVIDUAL
Prost	I-PESSOA_INDIVIDUAL
foi	O
campeão	O
do	O
Mundo	B-LOCAL_HUMANO
?	O
Quantos	O
cavalos	O
tem	O
as	O
turbinas	O
do	O
USS	B-COISA_OBJECTO
Nimitz	I-COISA_OBJECTO
?	O
Quantos	O
golos	O
se	O
marcaram	O
ao	O
todo	O
no	O
Mundial	B-ACONTECIMENTO_ORGANIZADO
de	O
1982	B-TEMPO_TEMPO_CALEND
?	O
Quantas	O
caves	O
tem	O
a	O
Torre	B-COISA_OBJECTO
Picasso	I-COISA_OBJECTO
?	O
Quantos	O
prémios	O
Goya	O
ganhou	O
``	O
Torrente	B-OBRA_REPRODUZIDA
:	I-OBRA_REPRODUZIDA
El	I-OBRA_REPRODUZIDA
brazo	I-OBRA_REPRODUZIDA
tonto	I-OBRA_REPRODUZIDA
de	I-OBRA_REPRODUZIDA
la	I-OBRA_REPRODUZIDA
ley	I-OBRA_REPRODUZIDA
''	O
?	O
Que	O
idade	O
tem	O
o	O
Sol	B-COISA_OBJECTO
?	O
Qual	O
a	O
duração	O
do	O
filme	O
«	O
A	B-OBRA_REPRODUZIDA
Nona	I-OBRA_REPRODUZIDA
Porta	I-OBRA_REPRODUZIDA
»	O
?	O
Com	O
que	O
idade	O
morreu	O
Alfred	B-PESSOA_INDIVIDUAL
Hitchcock	I-PESSOA_INDIVIDUAL
?	O
Qual	O
a	O
envergadura	O
do	O
Airbus	B-COISA_CLASSE
380	I-COISA_CLASSE
?	O
Quantos	O
passageiros	O
transportou	O
no	B-TEMPO_TEMPO_CALEND
dia	I-TEMPO_TEMPO_CALEND
4	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
Setembro	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
2006	I-TEMPO_TEMPO_CALEND
?	O
Quanto	O
custa	O
cada	O
unidade	O
?	O
Qual	O
a	O
capacidade	O
de	O
carga	O
do	O
Antonov	B-COISA_CLASSE
An-124	I-COISA_CLASSE
?	O
Quais	O
são	O
os	O
membros	O
fundadores	O
da	O
Star	B-ORGANIZACAO_EMPRESA
Alliance	I-ORGANIZACAO_EMPRESA
?	O
Em	O
que	O
país	O
se	O
fala	O
náhuatl	O
?	O
Quantas	O
curvas	O
tem	O
o	O
Circuito	B-LOCAL_HUMANO
do	O
Mónaco	B-LOCAL_HUMANO
?	O
Quem	O
foi	O
a	O
primeira	O
mulher	O
a	O
viajar	O
no	O
espaço	O
?	O
Quem	O
realizou	O
«	O
O	B-OBRA_REPRODUZIDA
Dia	I-OBRA_REPRODUZIDA
da	I-OBRA_REPRODUZIDA
Besta	I-OBRA_REPRODUZIDA
»	O
?	O
Quem	O
inaugurou	O
o	O
Templo	B-OBRA_ARTE
de	I-OBRA_ARTE
Debod	I-OBRA_ARTE
em	O
Madrid	B-LOCAL_HUMANO
?	O
Em	O
que	O
ano	O
é	O
que	O
Torquemada	B-PESSOA_INDIVIDUAL
foi	O
nomeado	O
Inquisidor	B-PESSOA_CARGO
Geral	I-PESSOA_CARGO
?	O
Em	O
que	O
ano	O
foi	O
publicada	O
a	O
Gramática	B-OBRA_REPRODUZIDA
de	O
Nebrija	B-PESSOA_INDIVIDUAL
?	O
Onde	O
é	O
que	O
Rachel	B-PESSOA_INDIVIDUAL
Weisz	I-PESSOA_INDIVIDUAL
estudou	O
literatura	O
?	O
Em	O
que	O
cidade	O
fica	O
a	O
Sagrada	B-OBRA_ARTE
Família	I-OBRA_ARTE
de	O
Gaudí	B-PESSOA_INDIVIDUAL
?	O
Qual	O
a	O
altura	O
do	O
Vesúvio	B-COISA_OBJECTO
?	O
A	O
quantos	O
quilómetros	O
de	O
Huesca	B-LOCAL_HUMANO
fica	O
o	O
Castelo	B-LOCAL_HUMANO
de	O
Loarre	B-LOCAL_HUMANO
?	O
Qual	O
a	O
massa	O
molécular	O
do	O
metanol	O
?	O
Qual	O
a	O
altura	O
da	O
Pirámede	B-OBRA_ARTE
do	I-OBRA_ARTE
Sol	I-OBRA_ARTE
de	O
Teotihuacan	B-LOCAL_HUMANO
?	O
Quantos	O
saltos	O
formam	O
as	O
Cataratas	B-LOCAL_FISICO
do	I-LOCAL_FISICO
Iguaçú	I-LOCAL_FISICO
?	O
Quantos	O
degraus	O
tem	O
a	O
Torre	B-LOCAL_HUMANO
de	O
Pisa	B-LOCAL_HUMANO
?	O
Quais	O
são	O
os	O
ingredientes	O
da	O
sangria	O
?	O
Quem	O
é	O
responsável	O
pela	O
segurança	O
da	O
Cidade	B-LOCAL_HUMANO
do	I-LOCAL_HUMANO
Vaticano	I-LOCAL_HUMANO
?	O
Quem	O
atribui	O
a	O
Medalha	O
Fields	O
?	O
Para	O
quem	O
trabalha	O
Jack	B-PESSOA_INDIVIDUAL
Bauer	I-PESSOA_INDIVIDUAL
?	O
O	O
que	O
é	O
que	O
foi	O
usado	O
como	O
desfolhante	O
na	O
Guerra	B-ACONTECIMENTO_EFEMERIDE
do	I-ACONTECIMENTO_EFEMERIDE
Vietname	I-ACONTECIMENTO_EFEMERIDE
?	O
Qual	O
foi	O
o	O
nome	O
de	O
código	O
do	O
Desembarque	B-ACONTECIMENTO_EFEMERIDE
da	I-ACONTECIMENTO_EFEMERIDE
Normândia	I-ACONTECIMENTO_EFEMERIDE
?	O
De	O
que	O
fungo	O
se	O
obtêm	O
a	O
penicilina	O
?	O
De	O
que	O
molusco	O
é	O
que	O
os	O
fenícios	O
extraíam	O
a	O
tinta	O
púrpura	O
?	O
O	O
que	O
é	O
que	O
Manuel	B-PESSOA_INDIVIDUAL
Campello	I-PESSOA_INDIVIDUAL
Esclápez	I-PESSOA_INDIVIDUAL
descobriu	O
?	O
De	O
que	O
é	O
que	O
Jasão	B-PESSOA_INDIVIDUAL
e	O
os	O
Argonautas	B-PESSOA_GRUPOMEMBRO
andavam	O
à	O
procura	O
?	O
Quem	O
era	O
presidente	B-PESSOA_CARGO
dos	I-PESSOA_CARGO
Estados	I-PESSOA_CARGO
Unidos	I-PESSOA_CARGO
durante	O
o	O
ataque	O
a	O
Pearl	B-LOCAL_HUMANO
Harbour	I-LOCAL_HUMANO
?	O
O	O
que	O
é	O
que	O
a	O
Norsk	B-ORGANIZACAO_EMPRESA
Hydro	I-ORGANIZACAO_EMPRESA
produzia	O
durante	O
a	O
Segunda	B-ACONTECIMENTO_EFEMERIDE
Guerra	I-ACONTECIMENTO_EFEMERIDE
Mundial	I-ACONTECIMENTO_EFEMERIDE
?	O
Qual	O
o	O
tíulo	O
da	O
obra	O
que	O
ganhou	O
o	O
Prémio	O
Nadal	O
em	B-TEMPO_TEMPO_CALEND
1994	I-TEMPO_TEMPO_CALEND
?	O
Quantos	O
reservistas	O
tinha	O
a	O
Haganah	B-ORGANIZACAO_INSTITUICAO
em	B-TEMPO_TEMPO_CALEND
1936	I-TEMPO_TEMPO_CALEND
?	O
Que	O
idade	O
tinha	O
Miguel	B-PESSOA_INDIVIDUAL
Induraín	I-PESSOA_INDIVIDUAL
durante	O
a	O
Volta	B-ACONTECIMENTO_ORGANIZADO
a	I-ACONTECIMENTO_ORGANIZADO
Espanha	I-ACONTECIMENTO_ORGANIZADO
de	B-TEMPO_TEMPO_CALEND
1985	I-TEMPO_TEMPO_CALEND
?	O
Em	O
que	O
ano	O
é	O
que	O
ele	O
ganhou	O
a	O
Volta	B-ACONTECIMENTO_ORGANIZADO
à	I-ACONTECIMENTO_ORGANIZADO
Espanha	I-ACONTECIMENTO_ORGANIZADO
?	O
Quantas	O
etapas	O
da	O
Volta	B-ACONTECIMENTO_ORGANIZADO
à	I-ACONTECIMENTO_ORGANIZADO
França	I-ACONTECIMENTO_ORGANIZADO
do	I-ACONTECIMENTO_ORGANIZADO
Futuro	I-ACONTECIMENTO_ORGANIZADO
de	B-TEMPO_TEMPO_CALEND
1986	I-TEMPO_TEMPO_CALEND
é	O
que	O
ele	O
ganhou	O
?	O
Que	O
prémio	O
é	O
que	O
ele	O
recebeu	O
em	B-TEMPO_TEMPO_CALEND
1992	I-TEMPO_TEMPO_CALEND
?	O
Que	O
actores	O
são	O
os	O
protagonistas	O
de	O
«	O
O	B-OBRA_REPRODUZIDA
Bom	I-OBRA_REPRODUZIDA
,	I-OBRA_REPRODUZIDA
o	I-OBRA_REPRODUZIDA
Mau	I-OBRA_REPRODUZIDA
e	I-OBRA_REPRODUZIDA
o	I-OBRA_REPRODUZIDA
Vilão	I-OBRA_REPRODUZIDA
''	O
?	O
Quantas	O
pessoas	O
morreram	O
na	O
Europa	B-LOCAL_HUMANO
durante	O
a	O
epidemia	O
de	O
peste	O
do	B-TEMPO_TEMPO_CALEND
século	I-TEMPO_TEMPO_CALEND
XIV	I-TEMPO_TEMPO_CALEND
?	O
Em	O
que	O
país	O
teve	O
origem	O
a	O
epidemia	O
de	O
gripe	O
de	B-TEMPO_TEMPO_CALEND
1918	I-TEMPO_TEMPO_CALEND
?	O
Como	O
se	O
chamavam	O
os	O
Reis	B-PESSOA_GRUPOCARGO
Católicos	I-PESSOA_GRUPOCARGO
?	O
Como	O
se	O
chamava	O
o	O
presidente	B-PESSOA_CARGO
do	I-PESSOA_CARGO
Burundi	I-PESSOA_CARGO
que	O
morreu	O
em	B-TEMPO_TEMPO_CALEND
1994	I-TEMPO_TEMPO_CALEND
?	O
Em	O
que	O
dia	O
foi	O
promulgada	O
a	O
constituição	O
espanhola	O
de	B-TEMPO_TEMPO_CALEND
1812	I-TEMPO_TEMPO_CALEND
?	O
Quem	O
foi	O
o	O
capitão	O
do	O
Real	B-PESSOA_GRUPOMEMBRO
Sociedad	I-PESSOA_GRUPOMEMBRO
entre	B-TEMPO_TEMPO_CALEND
1974	I-TEMPO_TEMPO_CALEND
e	I-TEMPO_TEMPO_CALEND
1989	I-TEMPO_TEMPO_CALEND
?	O
Em	O
que	O
cidade	O
se	O
disputou	O
a	O
final	O
da	O
Taça	B-ACONTECIMENTO_ORGANIZADO
da	I-ACONTECIMENTO_ORGANIZADO
Europa	I-ACONTECIMENTO_ORGANIZADO
de	I-ACONTECIMENTO_ORGANIZADO
Basquete	I-ACONTECIMENTO_ORGANIZADO
de	B-TEMPO_TEMPO_CALEND
1996	I-TEMPO_TEMPO_CALEND
?	O
Que	O
grupo	O
terrorista	O
cometeu	O
um	O
atentado	O
durante	O
os	O
Jogos	B-ACONTECIMENTO_ORGANIZADO
Olímpicos	I-ACONTECIMENTO_ORGANIZADO
de	O
Munique	B-LOCAL_HUMANO
?	O
Que	O
partido	O
político	O
governou	O
a	O
Espanha	B-LOCAL_HUMANO
de	B-TEMPO_TEMPO_CALEND
28	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
Outubro	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
1982	I-TEMPO_TEMPO_CALEND
a	I-TEMPO_TEMPO_CALEND
3	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
Março	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
1996	I-TEMPO_TEMPO_CALEND
?	O
Que	O
farda	O
tinha	O
vestida	O
o	O
Rei	B-PESSOA_CARGO
quando	O
apareceu	O
na	O
televisão	O
após	O
o	O
golpe	O
de	O
estado	O
de	O
Tejero	B-PESSOA_INDIVIDUAL
?	O
O	O
que	O
é	O
que	O
Leonardo	B-PESSOA_INDIVIDUAL
da	I-PESSOA_INDIVIDUAL
Vinci	I-PESSOA_INDIVIDUAL
desenhou	O
em	B-TEMPO_TEMPO_CALEND
1492	I-TEMPO_TEMPO_CALEND
?	O
O	O
que	O
é	O
que	O
Antonio	B-PESSOA_INDIVIDUAL
Rebollo	I-PESSOA_INDIVIDUAL
usou	O
para	O
acender	O
a	O
Chama	B-COISA_OBJECTO
Olímpica	I-COISA_OBJECTO
nos	O
Jogos	B-ACONTECIMENTO_ORGANIZADO
Olímpicos	I-ACONTECIMENTO_ORGANIZADO
de	O
Barcelona	B-LOCAL_HUMANO
?	O
Que	O
programa	O
de	O
televisão	O
apresentou	O
Takeshi	B-PESSOA_INDIVIDUAL
Kitano	I-PESSOA_INDIVIDUAL
de	B-TEMPO_TEMPO_CALEND
1986	I-TEMPO_TEMPO_CALEND
a	I-TEMPO_TEMPO_CALEND
1989	I-TEMPO_TEMPO_CALEND
?	O
Que	O
presente	O
é	O
que	O
Nova	B-LOCAL_HUMANO
Iorque	I-LOCAL_HUMANO
recebeu	O
para	O
comemorar	O
o	O
centenário	O
da	O
indepêndencia	O
dos	O
Estados	B-LOCAL_HUMANO
Unidos	I-LOCAL_HUMANO
?	O
Qual	O
foi	O
a	O
distribuidora	O
do	O
filme	O
«	O
O	B-OBRA_REPRODUZIDA
Planeta	I-OBRA_REPRODUZIDA
dos	I-OBRA_REPRODUZIDA
Macacos	I-OBRA_REPRODUZIDA
»	O
que	O
estreou	O
em	B-TEMPO_TEMPO_CALEND
1968	I-TEMPO_TEMPO_CALEND
?	O
Que	O
velocidade	O
atingiu	O
Louis	B-PESSOA_INDIVIDUAL
Blériot	I-PESSOA_INDIVIDUAL
a	B-TEMPO_TEMPO_CALEND
25	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
Julho	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
1909	I-TEMPO_TEMPO_CALEND
?	O
Quantos	O
quilos	O
de	O
anchova	O
apanhou	O
a	O
frota	O
do	O
Cantábrico	B-LOCAL_FISICO
em	B-TEMPO_TEMPO_CALEND
1994	I-TEMPO_TEMPO_CALEND
?	O
Quais	O
são	O
as	O
ilhas	O
cuja	O
posse	O
a	O
Argentina	B-ORGANIZACAO_ADMINISTRACAO
disputou	O
ao	O
Reino	B-ORGANIZACAO_ADMINISTRACAO
Unido	I-ORGANIZACAO_ADMINISTRACAO
de	B-TEMPO_TEMPO_CALEND
2	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
Abril	I-TEMPO_TEMPO_CALEND
a	I-TEMPO_TEMPO_CALEND
14	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
Junho	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
1982	I-TEMPO_TEMPO_CALEND
?	O
Onde	O
se	O
disputaram	O
os	O
Jogos	B-ACONTECIMENTO_ORGANIZADO
Mediterrânicos	I-ACONTECIMENTO_ORGANIZADO
de	B-TEMPO_TEMPO_CALEND
1997	I-TEMPO_TEMPO_CALEND
?	O
Que	O
navio	O
é	O
que	O
James	B-PESSOA_INDIVIDUAL
Cook	I-PESSOA_INDIVIDUAL
comandou	O
de	B-TEMPO_TEMPO_CALEND
1768	I-TEMPO_TEMPO_CALEND
a	I-TEMPO_TEMPO_CALEND
1769	I-TEMPO_TEMPO_CALEND
?	O
Quem	O
é	O
o	O
actor	O
principal	O
do	O
filme	O
«	O
Tarzan	B-OBRA_REPRODUZIDA
,	I-OBRA_REPRODUZIDA
o	I-OBRA_REPRODUZIDA
Homem-Macaco	I-OBRA_REPRODUZIDA
»	O
?	O
Quanto	O
recordes	O
mundiais	O
é	O
que	O
ele	O
bateu	O
?	O
Quem	O
ganhou	O
o	O
Óscar	O
Honorário	O
em	B-TEMPO_TEMPO_CALEND
2007	I-TEMPO_TEMPO_CALEND
?	O
Quem	O
roubou	O
as	O
jóias	O
de	O
Bianca	B-PESSOA_INDIVIDUAL
Castafiore	I-PESSOA_INDIVIDUAL
?	O
Em	O
que	O
país	O
fica	O
o	O
Lago	B-LOCAL_FISICO
dos	I-LOCAL_FISICO
Cisnes	I-LOCAL_FISICO
?	O
Em	O
que	O
ano	O
morreu	O
o	O
Capitão	B-PESSOA_INDIVIDUAL
América	I-PESSOA_INDIVIDUAL
?	O
Qual	O
é	O
a	O
capital	O
da	O
Terra	B-LOCAL_HUMANO
do	I-LOCAL_HUMANO
Nunca	I-LOCAL_HUMANO
?	O
Como	O
se	O
chama	O
a	O
mulher	O
de	O
Bill	B-PESSOA_INDIVIDUAL
Gates	I-PESSOA_INDIVIDUAL
?	O
Em	O
que	O
universidade	O
é	O
que	O
ele	O
estudava	O
quando	O
criou	O
a	O
Microsoft	B-ORGANIZACAO_EMPRESA
?	O
Qual	O
o	O
orçamento	O
dessa	O
universidade	O
para	B-TEMPO_TEMPO_CALEND
2005	I-TEMPO_TEMPO_CALEND
?	O
Em	O
que	O
ano	O
foi	O
fundada	O
?	O
Que	O
avião	O
supersónico	O
teve	O
os	O
seus	O
últimos	O
voos	O
comerciais	O
em	B-TEMPO_TEMPO_CALEND
Maio	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
2003	I-TEMPO_TEMPO_CALEND
?	O
Quantos	O
passageiros	O
conseguia	O
transportar	O
esse	O
modelo	O
de	O
avião	O
?	O
Qual	O
a	O
capacidade	O
do	O
Estádio	B-LOCAL_HUMANO
Santiago	I-LOCAL_HUMANO
Bernabéu	I-LOCAL_HUMANO
nos	B-TEMPO_TEMPO_CALEND
anos	I-TEMPO_TEMPO_CALEND
80	I-TEMPO_TEMPO_CALEND
?	O
Quem	O
é	O
o	O
dono	O
do	O
estádio	O
?	O
Quanto	O
dinheiro	O
foi	O
gasto	O
na	O
sua	O
ampliação	O
entre	B-TEMPO_TEMPO_CALEND
2001	I-TEMPO_TEMPO_CALEND
e	I-TEMPO_TEMPO_CALEND
2006	I-TEMPO_TEMPO_CALEND
?	O
Quantas	O
bombas	O
foram	O
lançadas	O
sobre	O
Dresda	B-LOCAL_HUMANO
a	B-TEMPO_TEMPO_CALEND
14	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
Fevereiro	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
1945	I-TEMPO_TEMPO_CALEND
?	O
Quanto	O
pesavam	O
as	O
bombas	O
largadas	O
sobre	O
esta	O
cidade	O
a	B-TEMPO_TEMPO_CALEND
7	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
Outubro	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
1944	I-TEMPO_TEMPO_CALEND
?	O
Que	O
organismo	O
dirigiu	O
Alan	B-PESSOA_INDIVIDUAL
Turing	I-PESSOA_INDIVIDUAL
durante	O
a	O
Segunda	B-ACONTECIMENTO_EFEMERIDE
Guerra	I-ACONTECIMENTO_EFEMERIDE
Mundial	I-ACONTECIMENTO_EFEMERIDE
?	O
Quem	O
era	O
o	O
czar	O
da	O
Rússia	O
durante	O
a	O
Segunda	B-ACONTECIMENTO_EFEMERIDE
Grande	I-ACONTECIMENTO_EFEMERIDE
Guerra	I-ACONTECIMENTO_EFEMERIDE
?	O
Quantos	O
pontos	O
marcou	O
a	O
Jugoslávia	B-PESSOA_GRUPOMEMBRO
na	O
final	O
do	O
Mundial	B-ACONTECIMENTO_ORGANIZADO
de	I-ACONTECIMENTO_ORGANIZADO
Basquetebol	I-ACONTECIMENTO_ORGANIZADO
de	B-TEMPO_TEMPO_CALEND
1990	I-TEMPO_TEMPO_CALEND
?	O
Contra	O
que	O
país	O
é	O
que	O
a	O
Espanha	B-PESSOA_GRUPOMEMBRO
jogou	O
a	O
final	O
de	O
basquete	O
das	O
Olímpiadas	B-ACONTECIMENTO_ORGANIZADO
de	B-TEMPO_TEMPO_CALEND
1984	I-TEMPO_TEMPO_CALEND
?	O
Em	O
que	O
ano	O
é	O
que	O
Espanha	B-PESSOA_GRUPOMEMBRO
ganhou	O
o	O
Mundial	B-ACONTECIMENTO_ORGANIZADO
de	I-ACONTECIMENTO_ORGANIZADO
Futebol	I-ACONTECIMENTO_ORGANIZADO
?	O
Telemoveis.com	O
TV	O
Escolher	O
outra	O
notícia	O
Telemóveis	O
vão	O
ter	O
domínio	O
na	O
Net	B-LOCAL_VIRTUAL
2005-07-13	B-TEMPO_TEMPO_CALEND
A	O
decisão	O
vem	O
na	O
sequência	O
de	O
vários	O
pedidos	O
de	O
um	O
grupo	O
de	O
operadores	O
móveis	O
e	O
fabricantes	O
de	O
telemóveis	O
,	O
que	O
criaram	O
uma	O
joint-venture	O
»	O
para	O
estimular	O
o	O
aparecimento	O
de	O
sites	O
destinados	O
exclusivamente	O
a	O
estes	O
equipamentos.	O
E	O
o	O
ICANN	B-ORGANIZACAO_INSTITUICAO
assincou	O
já	O
o	O
acordo	O
nesse	O
sentido	O
com	O
a	O
mTLD	B-ORGANIZACAO_EMPRESA
Top	I-ORGANIZACAO_EMPRESA
Level	I-ORGANIZACAO_EMPRESA
Domain	I-ORGANIZACAO_EMPRESA
,	O
que	O
congrega	O
a	O
GSM	B-ORGANIZACAO_INSTITUICAO
Association	I-ORGANIZACAO_INSTITUICAO
,	O
a	O
Microsoft	B-ORGANIZACAO_EMPRESA
,	O
fabricantes	O
como	O
a	O
Nokia	B-ORGANIZACAO_EMPRESA
,	O
a	O
Samsung	B-ORGANIZACAO_EMPRESA
e	O
a	O
Ericsson	B-ORGANIZACAO_EMPRESA
e	O
operadores	O
como	O
a	O
Vodafone	B-ORGANIZACAO_EMPRESA
,	O
a	O
Telefónica	B-ORGANIZACAO_EMPRESA
Móviles	I-ORGANIZACAO_EMPRESA
,	O
a	O
Hutchison	B-ORGANIZACAO_EMPRESA
3	I-ORGANIZACAO_EMPRESA
e	O
a	O
T-Mobile	B-ORGANIZACAO_EMPRESA
.	O
O	O
objectivo	O
desta	O
iniciativa	O
é	O
fazer	O
aumentar	O
a	O
utilização	O
da	O
Internet	O
no	O
telemóvel	O
,	O
funcionalidade	O
ainda	O
pouco	O
utilizada	O
,	O
devido	O
à	O
escassez	O
de	O
sites	O
e	O
conteúdos	O
adaptados	O
aos	O
equipamentos.	O
Em	O
princípio	O
,	O
o	O
sufixo	O
.mobi	O
deverá	O
ser	O
integrado	O
automaticamente	O
nos	O
endereços	O
logo	O
que	O
o	O
sistema	O
detecte	O
que	O
o	O
acesso	O
está	O
a	O
ser	O
efectuado	O
via	O
telemóvel.	O
Direitos	O
Fundamentais	O
Pöttering	B-PESSOA_INDIVIDUAL
,	O
Sócrates	B-PESSOA_INDIVIDUAL
e	O
Barroso	B-PESSOA_INDIVIDUAL
assinam	O
Carta	B-OBRA_PLANO
dos	I-OBRA_PLANO
Direitos	I-OBRA_PLANO
Fundamentais	I-OBRA_PLANO
da	O
UE	B-ORGANIZACAO_ADMINISTRACAO
Os	O
Presidentes	B-PESSOA_CARGO
do	O
Parlamento	B-ORGANIZACAO_ADMINISTRACAO
Europeu	I-ORGANIZACAO_ADMINISTRACAO
,	O
do	O
Conselho	B-ORGANIZACAO_ADMINISTRACAO
e	O
da	O
Comissão	B-ORGANIZACAO_ADMINISTRACAO
assinaram	O
,	O
a	B-TEMPO_TEMPO_CALEND
12	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
Dezembro	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
2007	I-TEMPO_TEMPO_CALEND
,	O
em	O
Estrasburgo	B-LOCAL_HUMANO
,	O
a	O
Carta	B-OBRA_PLANO
dos	I-OBRA_PLANO
Direitos	I-OBRA_PLANO
Fundamentais	I-OBRA_PLANO
da	O
União	B-ORGANIZACAO_ADMINISTRACAO
Europeia	I-ORGANIZACAO_ADMINISTRACAO
,	O
um	B-TEMPO_TEMPO_CALEND
dia	I-TEMPO_TEMPO_CALEND
