Mosteiro	B-OBRA
Comics	I-ORGANIZACAO
Bill	B-PESSOA
Elder	I-PESSOA
e	O
Wallace	B-PESSOA
Wood	I-PESSOA
,	O
que	O
,	O
nesse	B-TEMPO
período	I-TEMPO
,	O
deu	O
ao	O
mundo	O
a	O
memorável	O
My	B-OBRA
World	I-OBRA
,	O
uma	O
fábula	O
pessoal	O
sobre	O
a	O
decadência	O
moral	O
dos	O
Estados	B-PESSOA
Unidos	I-PESSOA
.	O
Ali	O
,	O
só	O
me	O
lembro	O
de	O
ser	O
eu.	O
Mas	O
talvez	O
houvesse	O
outros	O
,	O
da	O
família	O
Xara	B-PESSOA
Brasil	I-PESSOA
,	O
que	O
eram	O
as	O
pessoas	O
ali	O
principais	O
,	O
e	O
eram	O
realmente	O
...	O
não	O
me	O
lembro.	O
Agora	O
outros	O
meninos	O
em	O
Lisboa	B-LOCAL
,	O
ou	O
iam	O
para	O
as	O
piscinas	O
,	O
de	O
Algés	B-LOCAL
e	O
Dafundo	B-LOCAL
,	O
e	O
outras	O
coisas	O
assim.	O
D	O
:	O
Mas	O
conta	O
lá	O
...	O
como	O
é	O
que	O
aprendeste	O
a	O
nadar	O
,	O
que	O
é	O
engraçado	O
Aprendi	O
a	O
nadar	O
,	O
como	O
digo	O
,	O
com	O
esse	O
velho	O
lobo	O
do	O
mar	O
que	O
se	O
tinha	O
tornado	O
banheiro	O
da	O
praia	O
de	O
S.	B-LOCAL
--SENTENCE--	I-LOCAL
Bernardino	I-LOCAL
;	O
tinha	O
um	O
chapéu	O
mole	O
assim	O
amachucado	O
,	O
um	O
fato	O
de	O
macaco	O
,	O
e	O
uma	O
cabaça	O
à	O
cintura	O
e	O
ele	O
puxav	O
...	O
agarrava-me	O
assim	O
no	O
queixo	O
,	O
com	O
a	O
mão	O
,	O
e	O
depois	O
dizia-me	O
os	O
movimentos	O
que	O
eu	O
devia	O
fazer	O
,	O
nadar	O
é	O
claro	O
,	O
os	O
bálticos	O
,	O
não	O
é	O
?	O
E	O
foi	O
assim	O
que	O
eu	O
aprendi.	O
D	O
:	O
ele	O
atirava-te	O
para	O
a	O
água	O
com	O
a	O
cabaça	O
?	O
Como	O
?	O
Não	O
,	O
a	O
cabaça	O
ele	O
andava	O
ali	O
sempre	O
com	O
ela	O
,	O
como	O
banheiro	O
...	O
era	O
bóia	O
,	O
a	O
cabaça	O
servia	O
de	O
bóia	O
D	O
:	O
então	O
ele	O
atirava-te	O
à	O
água	O
...	O
Não	O
,	O
ali	O
à	O
borda	O
de	O
água	O
!	O
à	O
borda	O
,	O
primeiro	O
começava-se	O
à	O
borda	O
de	O
água	O
...	O
mas	O
com	O
altura	O
suficiente	O
para	O
eu	O
já	O
poder	O
nadar.	O
E	O
ele	O
pegava-me	O
assim	O
pelo	O
queixo	O
para	O
me	O
ajudar	O
,	O
e	O
nadava	O
de	O
bruços	O
,	O
claro	O
!	O
nadava	O
de	O
bruços	O
D	O
:	O
Mas	O
depois	B-TEMPO
...	O
depois	B-TEMPO
...	O
tornaste-te	O
uma	O
grande	O
nadadora	O
Depois	B-TEMPO
...	O
na	O
dita	O
praia	O
de	O
S.	B-LOCAL
--SENTENCE--	I-LOCAL
Bernardino	I-LOCAL
,	O
e	O
depois	O
na	O
Praia	B-LOCAL
das	I-LOCAL
Maçãs	I-LOCAL
,	O
tornei-me	O
uma	O
grande	O
nadadora	O
é	O
uma	O
maneira	O
um	O
bocadinho	O
...	O
como	O
hei-de	O
dizer	O
?	O
pouco	O
rigorosa	O
de	O
dizer.	O
Eu	O
era	O
uma	O
nadadora	O
de	O
muita	O
resistência.	O
De	O
fundo	O
,	O
digamos.	O
Mas	O
sempre	O
com	O
aquele	O
estilo	O
,	O
que	O
passou	O
de	O
bruços	O
para	O
agulha	O
,	O
e	O
que	O
realmente	O
me	O
fazia	O
avançar	O
muito	O
,	O
mas	O
eu	O
não	O
sabia	O
outro	O
estilo	O
,	O
nunca	O
nadei	O
de	O
braçada	O
,	O
crawl	O
...	O
D	O
:	O
Até	O
longe	O
!	O
S.	B-LOCAL
--SENTENCE--	I-LOCAL
Bernardino	I-LOCAL
não	O
ia	O
longe	O
,	O
mas	O
...	O
na	O
Praia	B-LOCAL
das	I-LOCAL
Maçãs	I-LOCAL
ia.	O
Até	O
tão	O
longe	O
que	O
a	O
minha	O
mãe	O
da	O
praia	O
não	O
me	O
via	O
!	O
Só	O
que	O
havia	O
um	O
barco	O
,	O
uma	O
chata	O
...	O
um	O
bocado	O
...	O
entre	O
o	O
sítio	O
onde	O
eu	O
estava	O
e	O
a	O
praia	O
que	O
era	O
para	O
nos	O
mostrar	O
,	O
a	O
mim	O
e	O
ao	O
Caldeira	B-PESSOA
Pires	I-PESSOA
,	O
que	O
era	O
...	O
que	O
éramos	O
os	O
únicos	O
que	O
tínhamos	O
essa	O
autorização	O
para	O
ir	O
assim	O
longe	O
numa	O
determinada	O
direcção	O
...	O
em	O
S.	B-LOCAL
--SENTENCE--	I-LOCAL
Bernardino	I-LOCAL
,	O
a	O
única	O
avaria	O
foi	O
na	O
Berlenga	B-LOCAL
,	O
também.	O
Parece	O
que	O
estava	O
fadada	O
para	O
as	O
tais	O
aventuras	O
da	O
Berlenga	B-LOCAL
!	O
Porque	O
aí	O
,	O
na	O
Berlenga	B-LOCAL
,	O
formos	O
numa	O
excursão	O
organizada	O
pelo	O
...	O
Xara	B-PESSOA
Brasil	I-PESSOA
e	O
por	O
um	O
senhor	O
que	O
era	O
governador	B-PESSOA
de	I-PESSOA
Peniche	I-PESSOA
ou	O
qualquer	O
coisa	O
assim	O
...	O
ou	O
presidente	B-PESSOA
da	I-PESSOA
Câmara	I-PESSOA
,	O
para	O
homenagear	O
uma	O
figura	O
nobre	O
que	O
era	O
um	O
arquiduque	O
austríaco	O
...	O
e	O
fizeram	O
D	O
:	O
Estava	O
lá	O
?	O
Estava	O
,	O
estava	O
em	O
Portugal	B-LOCAL
,	O
e	O
foi	O
lá	O
parece	O
,	O
casar	O
com	O
uma	O
senhora	O
que	O
era	O
a	O
rainha	B-PESSOA
da	I-PESSOA
Boémia	I-PESSOA
e	O
que	O
...	O
tinha	O
um	O
filho.	O
Mas	O
isto	O
foi	O
muito	B-TEMPO
mais	I-TEMPO
tarde	I-TEMPO
,	O
foi	O
aos	O
quinze	B-VALOR
anos	I-VALOR
...	O
ou	O
dezasseis	B-VALOR
,	O
porqu	O
nós	O
fomos.	O
Não	O
íamos	O
nunca	O
seguidamente	O
para	O
um	O
sítio	O
,	O
não	O
é	O
?	O
ìamos	O
um	O
aano	O
para	O
uma	O
praia	O
,	O
outro	B-TEMPO
ano	I-TEMPO
para	O
outra	O
...	O
D	O
:	O
Ah	O
,	O
nunca	O
iam	O
para	O
o	O
mesmo	O
sítio	O
...	O
Não.	O
Foi	O
por	O
isso	O
que	O
o	O
meu	O
pai	O
nunca	O
aceitou	O
fazer	O
uma	O
praia	O
na	O
Areia	O
Branca	O
!	O
Porque	O
ele	O
tinha	O
tido	O
a	O
possibilidade	O
de	O
comprar	O
terreno	O
baratíssimo	O
e	O
fazer	O
a	O
segunda	O
casa	O
da	O
Areia	B-LOCAL
Branca	I-LOCAL
!	O
Ele	O
não	O
queria	O
um	O
sítio	O
fixo	O
que	O
o	O
obrigasse	O
a	O
...	O
